"자료명","저자","출판사","출판년도","소장처","ISBN","카카오제목","카카오작가","카카오번역자","카카오ISBN","카카오출판사","카카오출간일","카카오썸네일","카카오URL","책소개","알라딘표지","알라딘ISBN13","알라딘설명","알라딘카테고리ID","알라딘카테고리명"
"여고생 핍의 사건 파일","홀리 잭슨 지음; 장여정 옮김","북레시피","2023","신착도서","9791190489782 ","여고생 핍의 사건 파일","Jackson Holly","장여정","9791190489782","북레시피","2023-04-28","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6333091%3Ftimestamp%3D20250218150220","https://search.daum.net/search?w=bookpage&bookId=6333091&q=%EC%97%AC%EA%B3%A0%EC%83%9D+%ED%95%8D%EC%9D%98+%EC%82%AC%EA%B1%B4+%ED%8C%8C%EC%9D%BC","『여고생 핍의 사건 파일; 샐 싱 미스터리 편』은 여고생 ‘핍’을 주인공으로 하는 미스터리 3부작 가운데 제1권으로, 청소년뿐만 아니라 성인 독자를 아우르는 최고의 미스터리 소설이라 평가받으며 영미권 최대 서평 사이트 굿리즈 초이스 어워드goodreads choice award 영어덜트 소설 1위의 영예를 차지했다. 또한 이 작품으로 홀리 잭슨은 2020년 영국 대형서점 워터스톤스의 아동문학상, 영국 청소년 문학상인 카네기 메달상 후보에 올랐으며, 결국 그해 영국 아동문학상을 수상했다. 《가디언》 지는 홀리 잭슨을 앞으로 주목할 만한 작가로 꼽기도 했다. 『여고생 핍의 사건 파일A Good Girl’s Guide to Murder』은 현재 BBC TV 드라마(6부작) 제작중에 있으며 시리즈의 두 번째 이야기인 『굿 걸, 배드 블러드Good Girl, Bad Blood』 편이 곧 국내 번역 출간 예정이다.","https://image.aladin.co.kr/product/31517/36/coversum/k682832535_3.jpg","9791190489782.0","여고생 ‘핍’을 주인공으로 하는 미스터리 3부작 가운데 제1권으로, 청소년뿐만 아니라 성인 독자를 아우르는 최고의 미스터리 소설이라 평가받으며 영미권 최대 서평 사이트 굿리즈 초이스 어워드goodreads choice award 영어덜트 소설 1위의 영예를 차지했다.","50759.0","국내도서>청소년>청소년 문학>청소년 소설"
"아이가 없는 집","알렉스 안도릴 지음; 유혜인 옮김","필름","2024","신착도서","9791193262184 ","아이가 없는 집","알렉스 안도릴","유혜인","9791193262184","필름(Feelm)","2024-06-12","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6658800%3Ftimestamp%3D20250107153552","https://search.daum.net/search?w=bookpage&bookId=6658800&q=%EC%95%84%EC%9D%B4%EA%B0%80+%EC%97%86%EB%8A%94+%EC%A7%91","이 책은 유서 깊은 목재 재벌로 만하임 그룹을 운영하는 페르 귄터가 탐정 율리아를 찾아가면서 시작한다. 자신의 휴대폰에서 발견한 시체 사진 한 장 때문에 하룻밤 사이 살인 용의자가 되었다는 페르 귄터. 하지만 정작 그는 사진이 찍힌 시간에 술에 취해 잠들어 기억이 없다고 한다. 게다가 사진 속 남자가 누구인지, 장소가 어디인지조차 알아내기 어렵다. 페르 귄터는 사건이 발생한 날 자신이 머물렀던 만하임 저택으로 율리아를 초대한다. 그날 함께 있었던 사람들이 모두 한자리에 다시 모이는데… 율리아는 과연 사건의 진실을 밝히고 범인을 알아낼 수 있을까?","https://image.aladin.co.kr/product/34117/59/coversum/k962931994_1.jpg","9791193262184.0","유서 깊은 목재 재벌로 만하임 그룹을 운영하는 페르 귄터가 탐정 율리아를 찾아가면서 시작한다. 자신의 휴대폰에서 발견한 시체 사진 한 장 때문에 하룻밤 사이 살인 용의자가 되었다는 페르 귄터. 하지만 정작 그는 사진이 찍힌 시간에 술에 취해 잠들어 기억이 없다고 한다. 게다가 사진 속 남자가 누구인지, 장소가 어디인지조차 알아내기 어렵다.","51067.0","국내도서>소설/시/희곡>추리/미스터리소설>기타국가 추리/미스터리소설"
"알레한드라 김의 가면증후군과 솔직한 고백","패트리샤 박 지음; 신혜연 옮김","서사원","2024","신착도서","9791168223264 ","알레한드라 김의 가면 증후군과 솔직한 고백","패트리샤 박","신혜연","9791168223264","서사원","2024-09-20","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6719674%3Ftimestamp%3D20250201153516","https://search.daum.net/search?w=bookpage&bookId=6719674&q=%EC%95%8C%EB%A0%88%ED%95%9C%EB%93%9C%EB%9D%BC+%EA%B9%80%EC%9D%98+%EA%B0%80%EB%A9%B4+%EC%A6%9D%ED%9B%84%EA%B5%B0%EA%B3%BC+%EC%86%94%EC%A7%81%ED%95%9C+%EA%B3%A0%EB%B0%B1","한국-아르헨티나계 미국인 알레한드라 김은 어디에서도 소속감을 느끼지 못한다. 다양한 인종이 사는 퀸스에서는 매번 중국놈이라 손가락질받고, 스페인어를 쓰지만 아르헨티나 사람이라고 무시당한다. 학비의 90퍼센트를 지원받으며 다니는 부유한 백인 고등학교에서는 우등생이며 엄연히 미국인이지만 다문화 딱지를 달고 은근한 차별을 받는다. 늘 자신을 응원하고 지지했던 아빠는 아메리칸드림을 꿈꾸며 미국에 왔으나 그 꿈을 이루지 못하고 우울과 무기력에 잠식되어 스스로 목숨을 끊었다. 각자의 방식으로 상실의 아픔을 견디는 알레한드라 김과 엄마의 관계는 삐걱거린다. 알레한드라의 소원은 무사히 고등학교를 졸업하고 지긋지긋한 동네를 탈출해 원하는 명문 대학에 진학하여 새로운 삶을 사는 것이다. 그러던 어느 날 학교에서 선생님에게 인종차별적인 발언을 듣게 된다. 언제나처럼 큰 말썽 일으키지 않고 조용히 넘어가려 하지만 불의를 참지 못하는 친구, 로럴이 기어이 일을 키우고야 만다. 집에서도, 학교에서도, 그 어디서도 자신은 이방인이라는 생각을 떨치기 위해 괜찮은 척 가면을 쓰고 살아가던 알레한드라는 과연 무사히 학교를 졸업하고 원하는 대로 뉴욕을 떠날 수 있을까?","https://image.aladin.co.kr/product/34611/21/coversum/k532933786_1.jpg","9791168223264.0","한국계 미국인 패트리샤 박의 화제작. 동양인 얼굴에 라틴계 이름, 국적은 미국. 어디서든 주목을 끄는 별종 고딩 알레한드라 김의 다사다난 성장기. 학교와 직장, 그리고 삶에서 가면을 쓰고 살아가는 느낌을 극복하기 위해 노력한 작가 자신의 경험에서 영감을 받아 집필한 작품이다.","50919.0","국내도서>소설/시/희곡>영미소설"
"활자잔혹극","루스 렌들 지음; 이동윤 옮김","북스피어","2024","신착도서","9791192313559 ","활자잔혹극","루스 렌델","이동윤","9791192313559","북스피어","2024-06-18","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6660497%3Ftimestamp%3D20250117154036","https://search.daum.net/search?w=bookpage&bookId=6660497&q=%ED%99%9C%EC%9E%90%EC%9E%94%ED%98%B9%EA%B7%B9","『활자잔혹극』은 추리소설 역사상 가장 도발적인 첫 문장으로 시작한다. ‘누가 죽였는지’, ‘왜 죽였는지’를 작가가 처음부터 밝혀버린 것이다. 범죄의 동기는 황당하다. 범인은 글을 읽고 쓸 줄 몰랐기 때문에, 즉 자신이 문맹임을 감추기 위해 한 가족을 무참히 살해했다. 문맹이란 그토록 부끄러운 일인가? 사람을 죽일 만큼? 영국 범죄소설 작가협회가 최고의 범죄소설에 수여하는 골드 대거 상과 미국 추리소설 작가협회가 수여하는 그랜드 마스터 상을 수상하며 거장의 반열에 오른 작가 루스 렌들은, 책을 읽고 글을 쓴다는 행위를 고찰함으로써 문맹이 인격 형성에 미치는 피해를 보여준다. 아울러 활자에 대한 턱없는 신뢰와 교만을 피할 수 있도록 책에 코를 박은 채 타자나 현실과의 소통을 거부하는 탐서가의 병폐도 함께 질책하고 있다. 직업적으로는 더할 나위 없이 성실하지만 글자를 모르는 하우스키퍼와, 책으로 둘러싸인 저택에 살며 넘치는 교양과 학식을 자랑하던 어느 가족의 예상치 못한 상호작용은 파국을 향해 치달으며 아슬아슬한 긴장감을 선사한다.","https://image.aladin.co.kr/product/34128/12/coversum/k292931196_1.jpg","9791192313559.0","추리소설 역사상 가장 도발적인 첫 문장으로 시작한다. ‘누가 죽였는지’, ‘왜 죽였는지’를 작가가 처음부터 밝혀버린 것이다. 범죄의 동기는 황당하다. 범인은 글을 읽고 쓸 줄 몰랐기 때문에, 즉 자신이 문맹임을 감추기 위해 한 가족을 무참히 살해했다. 문맹이란 그토록 부끄러운 일인가? 사람을 죽일 만큼?","51062.0","국내도서>소설/시/희곡>추리/미스터리소설>영미 추리/미스터리소설"
"(명화들이 말해주는) 그림 속 드레스 이야기","이정아 지음","J&jj (제이앤제이제이)","2018","신착도서","9791186972458 ","그림 속 드레스 이야기","이정아","","9791186972458","디지털북스","2018-12-26","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4843750%3Ftimestamp%3D20250401130232","https://search.daum.net/search?w=bookpage&bookId=4843750&q=%EA%B7%B8%EB%A6%BC+%EC%86%8D+%EB%93%9C%EB%A0%88%EC%8A%A4+%EC%9D%B4%EC%95%BC%EA%B8%B0","패션은 문명을 비추는 거울이다. 이 책은 극적이고 아름답고 때로는 실수라고 느껴질 만큼 기괴하고 민망한 패션과 그 속에 담긴 시대의 문화와 인간사를 살펴보는 책이다. 그림을 통해 과거의 패션과 거기에 담긴 당시 사회의 담론을 엿보는 것은 꽤 흥미로운 일이다. 어떤 그림은 지름길로 안내하지만 어떤 그림은 일부러 먼 길을 에둘러 돌게 만들기도 했다.","https://image.aladin.co.kr/product/17665/14/coversum/k382534512_1.jpg","9791186972458.0","패션은 문명을 비추는 거울이다. 이 책은 극적이고 아름답고 때로는 실수라고 느껴질 만큼 기괴하고 민망한 패션과 그 속에 담긴 시대의 문화와 인간사를 살펴보는 책이다. 그림을 통해 과거의 패션과 거기에 담긴 당시 사회의 담론을 엿보는 것은 꽤 흥미로운 일이다.","50978.0","국내도서>예술/대중문화>미술>미술 이야기"
"(난생 처음 한번 공부하는) 미술이야기. 8: 바로크 문명과 미술: 시선의 대축제, 막이 오르다","양정무 지음","사회평론","2024","신착도서","9791162733349 ","난처한 미술 이야기 8","양정무","","9791162733349","사회평론","2024-10-04","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6733541%3Ftimestamp%3D20241226152917","https://search.daum.net/search?w=bookpage&bookId=6733541&q=%EB%82%9C%EC%B2%98%ED%95%9C+%EB%AF%B8%EC%88%A0+%EC%9D%B4%EC%95%BC%EA%B8%B0+8","“어떤 시선으로 바라보아도 새로운 이야기가 끊임없이 펼쳐지는 퍼레이드, 『난처한 미술 이야기』 8권, ‘시선의 대축제’ 바로크 미술로 당신을 이끈다.” 『난생 처음 한번 공부하는 미술 이야기』시리즈는 어렵게만 느껴지던 미술사를 처음부터 끝까지 쉽게 풀어낸 책이다. 7권 출간 이후 2년의 기다림 끝에 미술사학계의 권위자인 양정무 교수의 강의력을 모두 담은 신작, 8권이 출간되었다. 8권은 고난을 이겨낸 자들이 부르는 승리의 찬사, 바로크 시대의 미술을 담았다. 바로크 미술의 여정은 로마에서 출발해 북유럽과 스페인을 거쳐 전 세계로 뻗어나간다. 세계의 꼬리로 전락한 로마가 권위를 회복하기 위해 어떤 노력을 해왔는지, 북유럽에서 유독 상업적 미술이 발달한 이유는 무엇인지, 스페인에서 절정을 맞이한 바로크 미술의 끝은 어디인지 살펴본다. 8권을 수놓는 미술사의 거장(카라바조, 루벤스, 렘브란트, 페르메이르, 벨라스케스……)들을 나란히 살펴보는 것도 이 책의 자랑이다. 독창적인 시선으로 미술의 물줄기를 바꾼 이들로부터 훗날 반 고흐, 피카소, 모네의 예술이 탄생한다. ‘난처한 미술’ 시리즈로 30만 독자들에게 미술을 ‘읽는’ 재미를 안겨준 저자 양정무 교수는 “『난처한 미술 이야기』 8권은 쓰면 쓸수록 애정이 생긴 책”이었다고 말한다. 천장화(회화), 계단(건축), 분수(조각)야말로 바로크 미술의 3대 특징이라고 강조하는 그의 자부처럼 이 책은 “가장 바로크다운 교양서”로 자리 잡을 것이다.","https://image.aladin.co.kr/product/34818/63/coversum/k452933538_2.jpg","9791162733349.0","『난생 처음 한번 공부하는 미술 이야기』시리즈는 어렵게만 느껴지던 미술사를 처음부터 끝까지 쉽게 풀어낸 책이다. 7권 출간 이후 2년의 기다림 끝에 미술사학계의 권위자인 양정무 교수의 강의력을 모두 담은 신작, 8권이 출간되었다. 8권은 고난을 이겨낸 자들이 부르는 승리의 찬사, 바로크 시대의 미술을 담았다.","51378.0","국내도서>인문학>교양 인문학"
"홀리","스티븐 킹 지음; 이은선 옮김","황금가지","2024","신착도서","9791170524397 ","홀리","스티븐 킹","이은선","9791170524397","황금가지","2024-08-16","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6708620%3Ftimestamp%3D20240905160654","https://search.daum.net/search?w=bookpage&bookId=6708620&q=%ED%99%80%EB%A6%AC","■줄거리 2021년, 전국을 마비시킨 코로나의 여파가 파인더스 키퍼스 탐정 사무소까지 닥친다. 최근 어머니를 떠나보낸 데다 파트너인 피트 헌틀리마저 입원하여 휴업 중인 홀리 기브니에게 한 여성이 연락해 온다. 그녀의 의뢰는 홀연히 사라진 딸을 찾아 달라는 것. 비슷한 실종자가 더 있음을 알게 된 젊은 희생양을 노리는 범인을 추적하다가 상상치도 못한 형태의 악과 마주한다.","https://image.aladin.co.kr/product/34534/72/coversum/k942932956_1.jpg","9791170524397.0","반세기 동안 거의 매년 새로운 작품을 발표하며 독자들에게 기쁨을 안겨 준 거장 스티븐 킹이 『홀리』로 야심 차게 돌아왔다. 빌 호지스 3부작에서 조역으로 등장해 장편 『아웃사이더』와 중편 「피가 흐르는 곳에」에서 탐정으로서 활약을 펼친 홀리 기브니가 연쇄 실종 사건에 뛰어든다.","107413.0","국내도서>소설/시/희곡>호러.공포소설>외국 호러.공포소설"
"조선 미술관","탁현규 지음","블랙피쉬","2023","신착도서","9788968334177 ","조선 미술관","탁현규","","9788968334177","블랙피쉬","2023-02-22","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6292146%3Ftimestamp%3D20250311155449","https://search.daum.net/search?w=bookpage&bookId=6292146&q=%EC%A1%B0%EC%84%A0+%EB%AF%B8%EC%88%A0%EA%B4%80","문화 절정기 조선의 풍속화와 궁중기록화를 한 권에 담아낸 전무후무한 책의 탄생! 기획하는 전시마다 대박을 터트리고 매 강연 청중의 감탄을 자아내는 고미술 최고 해설가 탁현규의 신간 『조선 미술관』이 출간되었다. 신윤복, 정선, 김홍도를 비롯한 조선의 천재 화가들 7인의 작품과 더불어 태평성대를 누린 숙종과 영조대의 기록화첩도 소개하고 있어 보는 즐거움이 배가 되는 특별한 미술책이다. 저자는 조선시대 화가들의 뛰어난 연출력을 현대의 기준으로 재해석해 새롭게 들려준다. 신윤복 그림에서 ‘붉은색과 푸른색 옷의 대비, 담장 바깥 높은 곳에서 집 안 들여다보기, 열린 방 안과 마당을 이어주는 마루를 무대로 삼기, 눈빛으로 심리 상태 연출하기’ 등 현대 영화나 드라마에 적용해도 손색없는 특유의 연출법을 발견해내는가 하면, 정선과 김홍도 그림에서 ‘다 그리면 재미없다’는 진경산수화 제1법칙을 찾아내기도 한다. 저자의 예리한 해석으로 옛 화가의 가치가 새로이 드높아지는 순간이다. 그림은 사진이 도입되기 전부터 시대를 읽어내는 중요한 단서이자 좋은 사료(史料)였다. 이런 관점에서 저자는 태평성대를 누렸던 조선 후기의 특징이 고스란히 드러난 그림 50여 점을 선별해 이 책에 수록했다. 백성의 다채로운 일상을 담은 풍속화부터 왕실과 상류사회의 경사스러운 행사를 그린 기록화까지, 아름다운 옛 그림을 감상하는 동시에 생생한 역사도 만날 수 있는 『조선 미술관』으로 지금 입장해보자.","https://image.aladin.co.kr/product/31132/76/coversum/896833417x_1.jpg","9788968334177.0","문화 절정기 조선의 풍속화와 궁중기록화를 한 권에 담아낸 책이다. 신윤복, 정선, 김홍도를 비롯한 조선의 천재 화가들 7인의 작품과 더불어 태평성대를 누린 숙종과 영조대의 기록화첩도 소개하고 있어 보는 즐거움이 배가 되는 특별한 미술책이다.","50984.0","국내도서>예술/대중문화>미술>한국미술"
"은하수를 여행하는 히치하이커를 위한 안내서","더글러스 애덤스 지음; 김선형, 권진아 옮김","책세상","2005","신착도서","9788970135472 ","은하수를 여행하는 히치하이커를 위한 안내서(합본)","더글러스 애덤스","김선형","9788970135472","책세상","2005-12-20","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F955342%3Ftimestamp%3D20250326114158","https://search.daum.net/search?w=bookpage&bookId=955342&q=%EC%9D%80%ED%95%98%EC%88%98%EB%A5%BC+%EC%97%AC%ED%96%89%ED%95%98%EB%8A%94+%ED%9E%88%EC%B9%98%ED%95%98%EC%9D%B4%EC%BB%A4%EB%A5%BC+%EC%9C%84%ED%95%9C+%EC%95%88%EB%82%B4%EC%84%9C%28%ED%95%A9%EB%B3%B8%29","전 세계 1억 명이 넘는 독자가 열광한 코믹 SF의 신화 <은하수를 여행하는 히치하이커를 위한 안내서> 시리즈의 최종 완결판. 시리즈 출간 25주년을 기념해 특별 한정판으로 합본이 재출간되었다. 광대한 은하계를 배경으로 과거와 현재와 미래를 종횡무진 넘나드는 우주 히치하이커들의 기상천외한 모험담을 보여주는 이 책은 기발하고 유쾌한 상상력, 엉뚱하고 황당한 장치와 대화들, 과장된 캐릭터, 상식과 형식을 파괴하는 자유로움, 진지한 주제들을 사소한 농담처럼 희화화하는 익살스런 유머를 끊임없이 쏟아낸다. 그러나 폭죽처럼 작열하는 농담과 익살의 카니발 속에서 정신없이 웃다 보면 어느새 삶과 우주에 대한 철학적 물음과 마주하게 된다. 코미디와 사이언스 픽션을 합친 이야기를 쓰고 싶다는 애덤스의 발상에서 시작된 이 시리즈는 드라마, 책, 음반, 컴퓨터 게임, CD, 연극 등 온갖 장르로 진화하면서 전 세계적으로 열광적인 팬덤을 형성해왔다. 이번에 출간된 책은 다양한 버전들을 한데 모은 최종 완결판이란 점에서 의의가 깊다.","https://image.aladin.co.kr/product/60/74/coversum/8970135472_1.jpg","9788970135472.0","이 책은 코믹 SF 장르를 개척한 작품이자 최고작으로, 한마디로 말해 '범우주적인 거대한 농담'이다. 재기발랄하고 유쾌한 상상력, 별난 캐릭터들의 좌충우돌 행각, 블랙 코미디적인 유머감각과 경쾌한 풍자, 진지하고 심각한 주제를 아무렇지도 않게 말하기. 그야말로 우스운 상황과 대화들이 가득하다.","89481.0","국내도서>소설/시/희곡>과학소설(SF)>외국 과학소설"
"예술 도둑","마이클 핀클 지음; 염지선 옮김","생각의힘","2024","신착도서","9791193166659 ","예술 도둑","마이클 핀클","염지선","9791193166659","생각의힘","2024-09-20","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6719315%3Ftimestamp%3D20250403153831","https://search.daum.net/search?w=bookpage&bookId=6719315&q=%EC%98%88%EC%88%A0+%EB%8F%84%EB%91%91","여기, 당신의 마음을 홀딱 훔칠 읽을거리가 있다. 예술, 범죄, 사랑 그리고 어떤 대가를 치르더라도 아름다움을 소유하려는 끝없는 욕망에 관한 위험하고도 매혹적인 이야기를 담은 논픽션 《예술 도둑》이다. 세계적인 베스트셀러 작가 마이클 핀클이 역사상 가장 많은 예술 작품을 훔친 희대의 도둑, 스테판 브라이트비저를 둘러싼 기이하고 강렬하며 아롱아롱 번쩍이는 세계로 우리를 안내한다. 책은 1997년 2월 어느 분주한 일요일, 벨기에 ‘루벤스의 집’에서 벌어진 도난 사건으로 문을 연다. 스물두 살의 귀여운 연인, 브라이트비저와 앤 캐서린은 이날 상아 조각상 〈아담과 이브〉를 손에 넣는다. 그리고 그들이 함께 머무는 어머니 집 다락에 전시한다. 아름다운 보물로 둘러싸인 환상 속 공간에서 자신들만의 컬렉션을 꾸린다. 바라보고, 쓰다듬고, 사랑하고, 또 훔친다. 그러나 오만한 한 행동이 마침내 모든 것을 무너뜨리고 마는데……. 핀클은 수많은 이들과 주고받은 인터뷰, 광범위한 연구와 치밀한 취재 등을 토대로 이 모든 ‘소설보다 더 소설 같은’ 범죄 사건을 잘 짜인 이야기로 엮어내 우리에게 선보인다. 인간 본연의 감정과 욕망을 섬세하게 어루만지며 우리의 마음을 황홀하게 휘젓는다.","https://image.aladin.co.kr/product/34611/65/coversum/k582933888_3.jpg","9791193166659.0","여기, 당신의 마음을 홀딱 훔칠 읽을거리가 있다. 예술, 범죄, 사랑 그리고 어떤 대가를 치르더라도 아름다움을 소유하려는 끝없는 욕망에 관한 위험하고도 매혹적인 이야기를 담은 논픽션 《예술 도둑》이다. 세계적인 베스트셀러 작가 마이클 핀클이 역사상 가장 많은 예술 작품을 훔친 희대의 도둑, 스테판 브라이트비저를 둘러싼 기이하고 강렬하며 아롱아롱 번쩍이는 세계로 우리를 안내한다.","51373.0","국내도서>에세이>외국에세이"
"출근하는 책들","구채은 지음","Pazit(파지트)","2023","신착도서","9791192381756 ","출근하는 책들","구채은","","9791192381756","파지트","2023-09-06","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6428942%3Ftimestamp%3D20240628150549","https://search.daum.net/search?w=bookpage&bookId=6428942&q=%EC%B6%9C%EA%B7%BC%ED%95%98%EB%8A%94+%EC%B1%85%EB%93%A4","어느 날, 오늘 하루만 나를 대신해 출근할 아바타를 고를 수 있는 기회가 왔다. 단, 그 아바타는 책들 속 주인공으로 한정돼 있다. 만약 여러분이라면 어떤 화자를 고를 것인가? 다자이 오사무의 자전적 소설, 『인간실격』의 요조가 회식 자리에 앉아있다고 상상해 보자. ‘익살’이란 가면을 쓰고 그 시간을 용케도 잘 버텨내면서 내면에 큰 수치심과 괴리감, 시대와의 불화를 느끼지 않았을까. 아니면 요조가 미친 척 발광에 실성한 척을 해대서 그 술자리는 일찍 파해 2차까지 가지 않아 다행스러울 수도 있다. 물론 다음날 내가 대신 그 민망한 상황을 정리해야 하는 고통은 있다. 아니면 『빨간머리 앤』의 주인공 앤을 보내 하루종일 수용초과의 투머치 토크를 건네, 상사가 다시는 당신과 대화를 하고 싶어 하지 않게 되는 건 어떨까? 이 또한 상상만으로도 즐겁다. 책 속의 어떤 주인공이든 오늘의 나를 대신해 회사 생활을 한다면 일은 망치겠지만 하루를 망치지는 않겠다는 묘한 쾌감이 든다. 일터에서 비루해지고, 초라해지고, 남루해지며, 처참과 비참, 비탄을 느껴야 할 때가 있다. 그럴 때 내 삶의 장르 자체가 회색빛으로 바뀌는 듯한 느낌이 든다. 근사하게, 당당하게, 멋있게, 직업윤리를 지키며 자아 성장을 도모해 줄 것이라 믿었던 무지갯빛 일터는 신기루처럼 흩어져버렸다. 바람은 〈이상한 변호사 우영우〉의 박은빈이 되고 싶지만, 현실은 〈나의 아저씨〉의 아이유다. 날카로운 굴욕과 치욕, 모멸과 너절함이 마음을 땅 밑으로 꺼지게 한다. 뜻대로 되지 않는 삶과 생계에 대한 중압감이 허무와 절망으로 누를 때. 그럴 때 저자는 순전히 도피한다는 마음으로 책을 펼친다. 할 줄 아는 게 읽는 것밖에 없었으니까. 일 생각 좀 떨쳐버리고 싶었으니까. 이 책은 그런 때 눈물을 삼키며 읽은 ‘도망간 곳에서 찾은 활자’들의 기록들이다. 비정한 일터에서 처절히 무너진 '일개 독자'의 '읽는 인생' 책 속에 등장하는 활자들의 행진은 고작 24시간이라는 짧은 시간 안에 흉포한 일터에서 찢기고, 할큄당하고, 쏘이고, 난도질 당하다 너절해진 저자를 안아주고 얼러주며 위로한 도서들이다. 저자가 읽은 책들은 일하는 고통에 휩싸인 인간에게 자기계발서나 처세술 서적이 그러하듯, 똑 부러지게 ‘이렇게 하세요’ 라는 직접적인 해답을 주지 않는다. 오히려 답 같은 건 없다고 눙을 치며 슬그머니 뭉개기만 한다. 해답을 구하는 독자에게 더 난해한 질문과 난수표 같은 반응으로 응수해 당혹스럽게 만들기도 한다. 일터에서 고통을 해소하는 수단으로서 책을 읽는 것은 가성비가 떨어져도 한참 떨어지는 일이다. 그런데 저자는 이 생산성 낮은 ‘도피성 독서’를 통해 단언컨대 ‘일하는 인간’으로서 조금 더 단단해지고 명료해지며 단호해졌다고 말한다. 책은 총 5부로 구성되어 있다. 1부에서는 일의 고통을 조명했다. 시작은 다자이 오사무의 『인간실격』에 대한 독후감이다.... 저자는 일터에서 광대가 되어야 하거나, 허위와 가식에 환멸을 느낄 때 『인간실격』 요조의 포효를 떠올린다. 『라인: 밤의 일기』는 일터를 장엄한 시야로 볼 수 있게 하고, 『비타민』은 남루한 하루치의 노동에 깊은 소외를 느끼는 것이 나만이 아니라는 위안을 준다. 2부는 일터에서의 대인관계에 대한 이야기다. 『야간비행』은 워커홀릭 상사들의 내면심리를 초고밀도로 들여다 볼 수 있는 책이다. 『우신예찬』은 인간은 본디 본성이 불완전하고 어리석으니, 그깟 인간에 상처받지 말라고 말해주는 것 같다. 『스토너』와 『관리의 죽음』은 사회생활에서 필연적으로 생기는 오해와 갈등 상황에서 어떻게 내면을 지킬 수 있는지 알려준다. 인정 욕망에 대해 말하는 3부에서는 내 안의 음습한 마음을 낯설게 바라볼 수 있게 하는 『위로해주려는데 왜 자꾸 웃음이 나올까』가 함께 한다. 4부는 매너리즘을 다뤘다. 『외투』를 읽으면 자아도취감이 얼마나 인간을 망가뜨릴 수 있는지 알 수 있고, 『세일즈맨의 죽음』은 어딘가 불안정한 삶터와 일터가 인간을 얼마나 고통스럽게 할 수 있는지를 간접 체험하게 한다. 5부는 일의 끝과 시작에 대해 말한다. 『이반 일리치의 죽음』은 일보다 더 중요한 삶의 가치가 무엇이어야 하는지 집요하게 묻고, 『그림자를 판 사나이』, 『단식광대』는 일의 의미와 역할에 대해 조금 더 진지하고 묵직하게 사색할 수 있게 한다. 현관문을 여는 것부터 시작되는 우리의 출근길은 늘 변함없는 루틴임에도 이상하리만치 낯설고, 껄끄럽고 요원하다. 그 외롭고도 지난한 길에 누군가 우리 손을 잡아준다. '걱정마, 오늘도 내가 같이 가 줄게.' 마치 전장을 나가는 신참 보병처럼 비장한 내 어깨 언저리엔 소총대신 '오늘의 책' 한 권이 들어있는 가방이 달랑거린다. '출근하는 책들'과 함께라니, 이 얼마나 다행스런 하루란 말인가.","https://image.aladin.co.kr/product/32383/73/coversum/k732935784_1.jpg","9791192381756.0","저자는 일터에서 내면이 찢기고 자아가 소멸되는 것 같을 때, 다 큰 성인으로서 지켜야 하는 존엄함의 영토가 침범당하는 것 같을 때, 감정을 억누르고 익살꾼을 연기해야 할 때, 누군가의 송곳 같은 말이 뒷통수에 착 달라붙어 꿈에까지 쳐들어올 때, 그럴 때 마다 책을 펼쳤다. 그리고 그 기록들을 하나하나 도장찍듯 남겼다.","51381.0","국내도서>인문학>인문 에세이"
