book_id,title,author,publisher,year,call_number,isbn,image_url,description,category
9941,시읽는 기쁨,정효구,작가정신,2003,811.609 정95ㅅ c.3,8972881554,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1008824%3Ftimestamp%3D20241001114318,"한국 현대 시인 25인과의 아름다운 만남. 1985년 <한국문학 신인상>을 수상하며 활발한 문학평론을 해온 문학평론가가 쓴 현대시 평론서. 시를 더 구체적이고 진실되게 이해할 수 있도록, 시 뿐만이 아니라 오히려 시인에 대한 더 자세한 이해와 정보를 제공한다. 무한이 부르는 소리, 무한에 다가가는 소리, 천상병의 <귀천>부터 말의 힘을 느껴보세요, 황인숙의 <말의 힘>까지 현대의 대표적인 시인들을 소개한다.","['소설/시/희곡', '시', '한국시']"
9942,시읽는 기쁨,정효구,작가정신,2003,811.609 정95ㅅ c.2,8972881554,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1008824%3Ftimestamp%3D20241001114318,"한국 현대 시인 25인과의 아름다운 만남. 1985년 <한국문학 신인상>을 수상하며 활발한 문학평론을 해온 문학평론가가 쓴 현대시 평론서. 시를 더 구체적이고 진실되게 이해할 수 있도록, 시 뿐만이 아니라 오히려 시인에 대한 더 자세한 이해와 정보를 제공한다. 무한이 부르는 소리, 무한에 다가가는 소리, 천상병의 <귀천>부터 말의 힘을 느껴보세요, 황인숙의 <말의 힘>까지 현대의 대표적인 시인들을 소개한다.","['소설/시/희곡', '시', '한국시']"
9943,일반화학,James E. Brady,탐구당,1995,430 B812ㅇ,,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1583101%3Ftimestamp%3D20230117194547, 이 책은 일반화학을 다룬 이론서입니다. 일반화학의 기초적이고 전반적인 내용을 학습할 수 있도록 구성했습니다.,"['대학교재/전문서적', '자연과학계열', '화학']"
9944,일반화학,Wl.L.Masterton,(도서출판)자유아카데미,1999,430 M423ㅇ,,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1583101%3Ftimestamp%3D20230117194547, 이 책은 일반화학을 다룬 이론서입니다. 일반화학의 기초적이고 전반적인 내용을 학습할 수 있도록 구성했습니다.,"['대학교재/전문서적', '자연과학계열', '화학']"
9945,(미적분학을 위한)벡터와 행렬,정재명,서울대학교출판부,1996,414.1 정73ㅁ,897096763X,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F976285%3Ftimestamp%3D20221011091645,"이 책은 일반 독자층을 대상으로 한 책으로, 전문적인 내용을 비전공인 일반 독자들도 쉽게 이해할 수 있도록 풀어쓴 교양 도서이다.","['과학', '수학', '수학 일반']"
9946,아버지,김정현,문이당,1996,813.6 김74ㅇㅂ c.6,8974560674,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1040805%3Ftimestamp%3D20221107221351,"항상 의연한듯 우뚝 선 아버지, 암 선고를 받고 죽음을 눈앞에 둔 중년 남자가 그의 가족들에게 보여주는 눈물겨운 사랑을 그린 장편소설. 사회 전반에 '아버지' 신드롬을 일으켰던 작품으로 진정한 아버지의 의미를 되새겨보는 작품. 췌장암 선고를 받고 죽음을 눈앞에 둔 중년 남자가 가족들에게 보여주는 눈물겨운 사랑을 통해 우리 시대 아버지의 자화상을 그리고 있다. 이 시대 중년 남성의 현주소를 적나라하게 드러내 아버지 자리찾기에 앞장선 베스트셀러. 이 소설은 시한부 삶을 선고받은 중년 남성의 심정을 냉철하고 차분하게 묘사하였다. 서서히 무르익어가는 갈등보다는 급작스런 죽음의 선고를 서두에 배치한 후 주인공이 죽음을 받아들이게 되는 과정을 그려내는 독특한 서술 방식을 취하고 있다. 또한 가정이라는 한정된 공간 속에서 그 구성원간의 엇갈리는 감정의 불균형, 죽음을 숨긴 채 허물어져가는 아버지를 지켜보며 실망과 기대가 뒤섞이는 가족의 기류를 민감하게 포착해 내고 있으며, 죽음이 엄습하는 순간마다 나약하고 비굴해지려는 자신과의 싸움, 눈앞에 밟히는 죽음 앞에서 철저히 혼자여야 한다는 외로움이 너무나 담담히 서술되어 차라리 슬프게 느껴진다. 기존의 장편 작업으로 다져진 작가의 역량이 유감 없이 발휘된 이 소설은 독자들로 하여금 상징적 죽음이 아닌 현실로 닥친 아버지의 죽음을 통해 아버지와 가족의 진정한 의미를 되새겨보게 하고, 사람의 냄새가 그리운 메마른 가슴에 격정적인 감정의 소용돌이를 일으켜 세상을 새롭게 돌아볼 수 있는 계기를 마련해 주고 있다.","['소설/시/희곡', '한국소설', '2000년대 이후 한국소설']"
9947,달라이 라마의 행복론,달라이 라마;하워드 커틀러 ; 류시화 옮김,김영사,2001,229 라32ㄷ c.2,8934908114,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F517762%3Ftimestamp%3D20250401113650,"달라이 라마가 하워드 커틀러라는 미국의 저명한 정신과 의사와 행복이라는 주제로 대화한 것을 묶은 책. 명상과 예화, 불교와 심리학의 만남을 통하여, 우리로 하여금 인간관계, 건강, 가정, 직업, 우울함, 걱정, 분노, 질투 등을 이야기하면서 어떻게 인생의 난관을 헤쳐나가면서도 내적인 깊은 평안함을 간직할 수 있는가를 보였다. 아울러 달라이라마의 깊은 진리의 말들을 커틀러 박사는 자신이 다루었던 과학적인 연구자세를 첨가하여 가히 혁명적인 심리학이라고 할 수 있을 만큼 달라이라마 가까이서 행복의 진정한 의미와 일상 생활 속에서 그것을 막고 있는 원인이 무엇인지를 자세히 분석했다.","['종교/역학', '불교', '티베트 불교', '달라이 라마']"
9948,"영화, 역사",김지혜,소나무,2002,688.09 로295ㅇ,8971395389,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F982744%3Ftimestamp%3D20250320113603,"영화와 새로운 과거의 만남! 이 책은 영화가 하나의 역사로서 어떻게 작동하는지, 곧 영화는 우리들에게 과거에 관해 무엇을 어떻게 말해 주고 있는지에 관해 설명한 글들로 구성되어 있다. 또한 과거에 대한 우리의 이해 가능성과 기여에 대해 일련의 폭넓고 중요한 제안들을 제공하고 있다.","['역사', '역사학', '역사비평']"
9949,근원 수필,김용준,범우사,2000,814.6 김65ㄱ,8908041516,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F363390%3Ftimestamp%3D20240803112651,김용준의 글들은 수채화의 붓터치처럼 맑고 간결하며 다채롭다. 그가 다루는 삶의 아름다움은 매화의 향기처럼 은은하며 위대한 화가의 그림 앞에서처럼 경건해지면 경외스럽기까지 하다. 그가 바라보는 시선은 늘 봄볕 속에 빛나는 것 같아 그의 수필을 읽고 있노라면 하늘 아래 모든 것들은 달콤한 꿀샘을 저마다 하나씩 품고 있는 듯 하다.,"['에세이', '한국에세이']"
9950,전통 속의 첨단 공학기술,남문현 ; 손욱 [공저],김영사,2002,530.04 남36ㅈ,8934909544,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F517544%3Ftimestamp%3D20240926114553,"세계 최고 수준의 기술적 경이로움, 우리 전통 문화의 비밀을 벗긴다! 우리 문화 유산 속에 숨어 있는 과학기술의 우수성을 치밀한 고증과 과학적 근거를 통하여 재조명한 책이다. 한민족 고유의 과학기술 유산 가운데 대표적인 유물 속에 숨어 있는 공학적 요소를 발굴하여 그 현대적 의미를 조명하고, 조선 왕조의 건국 이후 우리 과학기술 발전의 토대를 이루는데 기여한 인물들을 통하여 전통적인 동아시아 과학기술의 토착화를 살펴보았다.","['과학', '과학의 이해', '과학사/기술사']"
