"자료명","저자","출판사","출판년도","소장처","ISBN","카카오제목","카카오작가","카카오번역자","카카오ISBN","카카오출판사","카카오출간일","카카오썸네일","카카오URL","책소개"
"정통한국문학대계. 31","박용구/김광식/추식","어문각","1994","자료실","894410042X","","","","","","","","",""
"정통한국문학대계. 29","김광주/허윤석/최태응","어문각","1994","자료실","8944100403 ","","","","","","","","",""
"정통한국문학대계. 28","주요섭/최학송/정비석","어문각","1994","자료실","894410039X","","","","","","","","",""
"정통한국문학대계. 27","전영택/유진오/김송","어문각","1994","자료실","8944100381 ","","","","","","","","",""
"정통한국문학대계. 26","박경수;정을병","어문각","1994","자료실","8944100373 ","","","","","","","","",""
"정통한국문학대계. 25","하근찬;강용준","어문각","1994","자료실","8944100365 ","","","","","","","","",""
"정통한국문학대계. 24","서기원/최인훈","어문각","1994","자료실","8944100357 ","","","","","","","","",""
"정통한국문학대계. 23","최일남/이호철","어문각","1994","자료실","8944100349 ","","","","","","","","",""
"정통한국문학대계. 22","강신재/박경리","어문각","1994","자료실","8944100330 ","","","","","","","","",""
"정통한국문학대계. 21","정한숙/전광용","어문각","1994","자료실","8944100322 ","","","","","","","","",""
"정통한국문학대계. 20","손창섭/이범선","어문각","1994","자료실","8944100314 ","","","","","","","","",""
"정통한국문학대계. 19","오영수/유주현","어문각","1994","자료실","8944100306 ","","","","","","","","",""
"정통한국문학대계. 18","장용학/이병주","어문각","1994","자료실","8944100292 ","","","","","","","","",""
"한국정통문학대계. 17","김성한/선우휘","범한","1994","자료실","8944100284 ","","","","","","","","",""
"정통한국문학대계. 16","손소희/한무숙","어문각","1994","자료실","8944100276 ","","","","","","","","",""
"정통한국문학대계. 15","최인욱/박연희","어문각","1994","자료실","8944100268 ","","","","","","","","",""
"정통문학대계. 14","안수길","어문각","1994","자료실","894410025X","","","","","","","","",""
"정통한국문학대계. 13","최정희","어문각","1994","자료실","8944100241 ","","","","","","","","",""
"정통한국문학대계. 8","이효석/김유정","어문각","1994","자료실","8944100195 ","","","","","","","","",""
"정통한국문학대계. 6","채만식/계용묵","어문각","1994","자료실","8944100179 ","","","","","","","","",""
"古代 아메리카","조나단 노오튼 레너드 [저] ; 한국일보타임-라이프편집부 [역]","한국일보 타임-라이프","1993","자료실","8933004076 ","","","","","","","","",""
"探險時代","존 R. 헤일 [저] ; 한국일보타임-라이프편집부 [역]","한국일보 타임-라이프","1993","자료실","8933003061 ","","","","","","","","",""
"젊은이여 希望의 등불을 켜라","안병욱","자유문학사","1990","자료실","894240203 ","","","","","","","","",""
"The Modern American Theater : A collection of Critical Essays","Alvin B. Kernan [ed.]","A Spectrum Book","1967","자료실","135862892 ","","","","","","","","",""
"Unicorn's science adventure","정유니 [외] 지음","창조와 지식","2023","자료실","9791160036794 ","","","","","","","","",""
"그로스 아이큐","티파니 보바 지음; 안기순 옮김","Andromedian;로크미디어","2019","자료실","9791135436338 ","","","","","","","","",""
"내게 가장 소중한 책 이야기. 8","전주시덕진도서관 지음","전주시 덕진도서관","2020","자료실","9791187662280 ","","","","","","","","",""
"독립운동 현장읽기. 2: 3.1운동편","독립기념관 한국독립운동사연구소 편","독립기념관 한국독립운동사연구소","2019","자료실","9788964681770 ","","","","","","","","",""
"유럽도시기행. 1: Athenae·Roma·Istanbul·Paris","유시민 지음; 한경혜 사진","생각의길:아름다운사람들","2019","자료실","9788965135586 ","","","","","","","","",""
"(한방 담론탐독)한방과 의료 그 사이","이성오 지음; 아시아사회문화연구소 기획","책방놀지","2019","자료실","9791196527402 ","","","","","","","","",""
