"자료명","저자","출판사","출판년도","소장처","ISBN","카카오제목","카카오작가","카카오번역자","카카오ISBN","카카오출판사","카카오출간일","카카오썸네일","카카오URL","책소개"
"승정원일기. 133: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979772491 ","","","","","","","","",""
"승정원일기. 132: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979772483 ","","","","","","","","",""
"승정원일기. 131: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979772432 ","","","","","","","","",""
"승정원일기. 130: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979772831 ","","","","","","","","",""
"승정원일기. 129: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979772823 ","","","","","","","","",""
"승정원일기. 128: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979772742 ","","","","","","","","",""
"승정원일기. 127: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979772734 ","","","","","","","","",""
"승정원일기. 126: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979772394 ","","","","","","","","",""
"승정원일기. 125: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979772327 ","","","","","","","","",""
"승정원일기. 124: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979772386 ","","","","","","","","",""
"승정원일기. 107: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979771150 ","","","","","","","","",""
"승정원일기. 106: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979771142 ","","","","","","","","",""
"승정원일기. 105: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979771134 ","","","","","","","","",""
"승정원일기. 104: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979771479 ","","","","","","","","",""
"승정원일기. 103: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979771126 ","","","","","","","","",""
"승정원일기. 100: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979770960 ","","","","","","","","",""
"승정원일기. 99: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979771088 ","","","","","","","","",""
"승정원일기. 98: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","897977107X","","","","","","","","",""
"승정원일기. 97: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979771061 ","","","","","","","","",""
"승정원일기. 96: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979770790 ","","","","","","","","",""
"승정원일기. 95: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979770782 ","","","","","","","","",""
"승정원일기. 94: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979771096 ","","","","","","","","",""
"승정원일기. 93: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979770987 ","","","","","","","","",""
"승정원일기. 92: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979770952 ","","","","","","","","",""
"승정원일기. 91: 고종","민족문화추진회 [편]","민족문화추진회","1994","자료실","8979770774 ","","","","","","","","",""
"(文理平敍)孟子新解","金鍾武","民音社","1994","자료실","8937410540 ","","","","","","","","",""
"(MBC-TV)명곡의 고향. 7: 음악총람","윤성희 [집필]","삼성당","1993","자료실","891401343X","","","","","","","","",""
"(MBC-TV)명곡의 고향. 6: 작품해설집","윤성희 [집필]","삼성당","1993","자료실","8914013421 ","","","","","","","","",""
"(MBC-TV)명곡의 고향. 5: 성악곡","윤성희 [집필]","삼성당","1993","자료실","8914013413 ","","","","","","","","",""
"(MBC-TV)명곡의 고향. 4: 실내악","윤성희 [집필]","삼성당","1993","자료실","8914013405 ","","","","","","","","",""
"(MBC-TV)명곡의 고향. 3: 독주곡","윤성희 [집필]","삼성당","1993","자료실","8914013391 ","","","","","","","","",""
"(MBC-TV)명곡의 고향. 2: 관현악 및 협주곡","윤성희 [집필]","삼성당","1993","자료실","8914013383 ","","","","","","","","",""
"(MBC-TV)명곡의 고향. 1: 교향곡","윤성희 [집필]","삼성당","1993","자료실","8914013375 ","","","","","","","","",""
"검은 고양이 ; 황금충","에드거 앨런 포 [지음] ; 허문순 [옮김]","교연아카데미","2003","자료실","8980483465 ","","","","","","","","",""
"무녀도 ; 갯마을 ; 흑산도","김동리 ; 오영수 외[지음]","교연아카데미","2003","자료실","8980483465 ","","","","","","","","",""
"국가론 ; 인구론 ; 시학","플라톤 외[지음]","교연아카데미","2003","자료실","8980483465 ","","","","","","","","",""
"데미안 ; 인형의 집","헤르만 헤세 ; 헨리크 입센 [지음] ; 박석일 ; 김양순 [옮김]","교연아카데미","2003","자료실","8980483465 ","","","","","","","","",""
"구운몽 ; 홍길동전 외","김만중 ; 허균 외[지음]","교연아카데미","2003","자료실","8980483465 ","","","","","","","","",""
"소나기 ; 독 짓는 늙은이 외","황순원 ; 김유정 외[지음]","교연아카데미","2003","자료실","8980483465 ","","","","","","","","",""
"그대 꿈꾸던 세상 눈떠 오는가","신기섭","아침나라","2003","자료실","8955870701 ","","","","","","","","",""
