"자료명","저자","출판사","출판년도","소장처","ISBN","카카오제목","카카오작가","카카오번역자","카카오ISBN","카카오출판사","카카오출간일","카카오썸네일","카카오URL","책소개"
"관악산 수재들의 문학캠프 시읽기1-2. 1: 시읽기","소래섭 [등저]","살림","2002","자료실","8952200802 ","관악산 수재들의 문학캠프 시읽기 1","소래섭","","9788952200808.0","살림","2003-01-06","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F633809%3Ftimestamp%3D20221025125350","https://search.daum.net/search?w=bookpage&bookId=633809&q=%EA%B4%80%EC%95%85%EC%82%B0+%EC%88%98%EC%9E%AC%EB%93%A4%EC%9D%98+%EB%AC%B8%ED%95%99%EC%BA%A0%ED%94%84+%EC%8B%9C%EC%9D%BD%EA%B8%B0+1"," "
"근대의 책 읽기","천정환 [지음]","푸른역사","2003","자료실","898778777X","근대의 책 읽기","천정환","","9788987787770.0","푸른역사","2003-11-07","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1263040%3Ftimestamp%3D20190127125051","https://search.daum.net/search?w=bookpage&bookId=1263040&q=%EA%B7%BC%EB%8C%80%EC%9D%98+%EC%B1%85+%EC%9D%BD%EA%B8%B0"," "
"(괴짜 과학자 로버트 매튜스의)기상천외 과학대전","로버트 매튜스 [지음]; 이영기 [옮김]","갤리온","2006","자료실","8901057638 ","기상천외 과학대전(괴짜 과학자 로버트 매튜스의)","로버트 매튜스","이영기","9788901057637.0","갤리온","2006-06-05","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F345405%3Ftimestamp%3D20190122161606","https://search.daum.net/search?w=bookpage&bookId=345405&q=%EA%B8%B0%EC%83%81%EC%B2%9C%EC%99%B8+%EA%B3%BC%ED%95%99%EB%8C%80%EC%A0%84%28%EA%B4%B4%EC%A7%9C+%EA%B3%BC%ED%95%99%EC%9E%90+%EB%A1%9C%EB%B2%84%ED%8A%B8+%EB%A7%A4%ED%8A%9C%EC%8A%A4%EC%9D%98%29"," "
"관계의 연금술","딘 오니시 [지음] ; 김현성 [옮김]","북하우스","2004","자료실","8956050872 ","관계의 연금술","딘 오니시","김현성","9788956050874.0","북하우스","2004-04-30","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F723489%3Ftimestamp%3D20190124151623","https://search.daum.net/search?w=bookpage&bookId=723489&q=%EA%B4%80%EA%B3%84%EC%9D%98+%EC%97%B0%EA%B8%88%EC%88%A0"," "
"끝나지 않는 신드롬","천정환 지음","푸른역사","2005","자료실","8991510051 ","끝나지 않는 신드롬","천정환","","9788991510050.0","푸른역사","2005-07-20","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1354841%3Ftimestamp%3D20190128013433","https://search.daum.net/search?w=bookpage&bookId=1354841&q=%EB%81%9D%EB%82%98%EC%A7%80+%EC%95%8A%EB%8A%94+%EC%8B%A0%EB%93%9C%EB%A1%AC"," "
"꽃들의 웃음판","정민 지음;김점선 그림","사계절","2005","자료실","8958280948 ","꽃들의 웃음판","정민","","9788958280941.0","사계절","2005-05-18","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F775946%3Ftimestamp%3D20191204124336","https://search.daum.net/search?w=bookpage&bookId=775946&q=%EA%BD%83%EB%93%A4%EC%9D%98+%EC%9B%83%EC%9D%8C%ED%8C%90"," "
"마음의 여행자","한스 크루파 [지음]; 서경홍 [옮김]","조화로운삶","2006","자료실","8995757728 ","마음의 여행자(양장본 HardCover)","한스 크루파","서경홍","9788995757727.0","조화로운삶","2006-06-09","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1452552%3Ftimestamp%3D20221025120845","https://search.daum.net/search?w=bookpage&bookId=1452552&q=%EB%A7%88%EC%9D%8C%EC%9D%98+%EC%97%AC%ED%96%89%EC%9E%90%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29"," "
"마리아 칼라스","앤 에드워드 지음","해냄","2004","자료실","8973377116 ","마리아 칼라스","앤 에드워드","김선형","9788973377114.0","해냄출판사","2005-12-05","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1019533%3Ftimestamp%3D20190126114108","https://search.daum.net/search?w=bookpage&bookId=1019533&q=%EB%A7%88%EB%A6%AC%EC%95%84+%EC%B9%BC%EB%9D%BC%EC%8A%A4"," "
"국어실력이 밥먹여준다 1. 1: 낱말편","김경원;김철호","유토피아","2006","자료실","8991645178 ","국어실력이 밥먹여준다(낱말편 1)","김경원, 김철호","","9788991645172.0","유토피아","2006-08-20","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1353894%3Ftimestamp%3D20220212151605","https://search.daum.net/search?w=bookpage&bookId=1353894&q=%EA%B5%AD%EC%96%B4%EC%8B%A4%EB%A0%A5%EC%9D%B4+%EB%B0%A5%EB%A8%B9%EC%97%AC%EC%A4%80%EB%8B%A4%28%EB%82%B1%EB%A7%90%ED%8E%B8+1%29"," "
"(다시쓰는) 택리지. 5: 복거총론-우리에게 산하는 무엇인가","신정일 지음","휴머니스트","2006","자료실","8958620900 ","다시쓰는 택리지 5(우리에게 산하는 무엇인가)","신정일","","9788958620907.0","휴머니스트","2006-02-06","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F786211%3Ftimestamp%3D20220803225813","https://search.daum.net/search?w=bookpage&bookId=786211&q=%EB%8B%A4%EC%8B%9C%EC%93%B0%EB%8A%94+%ED%83%9D%EB%A6%AC%EC%A7%80+5%28%EC%9A%B0%EB%A6%AC%EC%97%90%EA%B2%8C+%EC%82%B0%ED%95%98%EB%8A%94+%EB%AC%B4%EC%97%87%EC%9D%B8%EA%B0%80%29"," "
