"자료명","저자","출판사","출판년도","소장처","ISBN","카카오제목","카카오작가","카카오번역자","카카오ISBN","카카오출판사","카카오출간일","카카오썸네일","카카오URL","책소개"
"Holes","Louis Sachar","Laurel leaf newbery","2023","신착도서","9780440228592 ","Holes","","","9780440228592.0","","2001-08-14","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6191187%3Ftimestamp%3D20250409154701","https://search.daum.net/search?w=bookpage&bookId=6191187&q=Holes"," "
"모리와 함께한 화요일","미치 앨봄","세종 서적","2001","자료실","8985509993 ","모리와 함께한 화요일","미치 앨봄","공경희","9788985509992.0","세종서적","1998-06-10","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1215844%3Ftimestamp%3D20211031150416","https://search.daum.net/search?w=bookpage&bookId=1215844&q=%EB%AA%A8%EB%A6%AC%EC%99%80+%ED%95%A8%EA%BB%98%ED%95%9C+%ED%99%94%EC%9A%94%EC%9D%BC"," "
"지리 선생님, 스크린에 풍덩!","전국사회과교과연구회 지음","서해문집","2011","자료실","9788974834753 ","지리 선생님 스크린에 풍덩","전국사회과교과연구회","","9788974834753.0","서해문집","2011-07-20","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1050224%3Ftimestamp%3D20221025145833","https://search.daum.net/search?w=bookpage&bookId=1050224&q=%EC%A7%80%EB%A6%AC+%EC%84%A0%EC%83%9D%EB%8B%98+%EC%8A%A4%ED%81%AC%EB%A6%B0%EC%97%90+%ED%92%8D%EB%8D%A9"," "
"파인만의 여섯가지 물리이야기","리처드 파인만 강의; 폴 데이비스 서문; 박병철 옮김","승산","2007","자료실","9788988907429 ","파인만의 여섯가지 물리 이야기(양장본 HardCover)","리처드 파인만","박병철","9788988907429.0","승산","2003-01-06","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1283154%3Ftimestamp%3D20220909223236","https://search.daum.net/search?w=bookpage&bookId=1283154&q=%ED%8C%8C%EC%9D%B8%EB%A7%8C%EC%9D%98+%EC%97%AC%EC%84%AF%EA%B0%80%EC%A7%80+%EB%AC%BC%EB%A6%AC+%EC%9D%B4%EC%95%BC%EA%B8%B0%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29"," "
"세포의 반란","로버트 와인버그 지음; 조혜성, 안성민 옮김","사이언스북","2015(5쇄)","자료실","9788983719454 ","세포의 반란(사이언스 마스터스 5)(양장본 HardCover)","로버트 와인버그","안성민","9788983719454.0","사이언스북스","2015-05-22","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1169796%3Ftimestamp%3D20220925184506","https://search.daum.net/search?w=bookpage&bookId=1169796&q=%EC%84%B8%ED%8F%AC%EC%9D%98+%EB%B0%98%EB%9E%80%28%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4+%EB%A7%88%EC%8A%A4%ED%84%B0%EC%8A%A4+5%29%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29"," "
"페르마의 마지막 정리","사이먼 싱 지음; 박병철 옮김","영림카디널","1998","자료실","8985055976 ","페르마의 마지막 정리(2판)(갈릴레오총서 3)","사이먼 싱","박병철","9788985055970.0","영림카디널","2004-02-25","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1210195%3Ftimestamp%3D20220909221203","https://search.daum.net/search?w=bookpage&bookId=1210195&q=%ED%8E%98%EB%A5%B4%EB%A7%88%EC%9D%98+%EB%A7%88%EC%A7%80%EB%A7%89+%EC%A0%95%EB%A6%AC%282%ED%8C%90%29%28%EA%B0%88%EB%A6%B4%EB%A0%88%EC%98%A4%EC%B4%9D%EC%84%9C+3%29"," "
"리만 가설","존 더비셔 지음; 박병철 옮김","승산","2006","자료실","9788988907887 ","리만 가설(양장본 HardCover)","존 더비셔","박병철","9788988907887.0","승산","2006-10-10","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1289155%3Ftimestamp%3D20221011170855","https://search.daum.net/search?w=bookpage&bookId=1289155&q=%EB%A6%AC%EB%A7%8C+%EA%B0%80%EC%84%A4%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29"," "
"기초양자역학","Bruce Cameron Reed 지음; 김영태 역","청범출판사(Jones and Bartlett Publishers)","2008","자료실","9788988247440 ","기초 양자역학","BRUCE CAMERON REED","김영태","9788988247440.0","청범출판사","2008-08-25","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1267147%3Ftimestamp%3D20220825195452","https://search.daum.net/search?w=bookpage&bookId=1267147&q=%EA%B8%B0%EC%B4%88+%EC%96%91%EC%9E%90%EC%97%AD%ED%95%99"," "
"실해석학","David M. Bressoud 지음; 허민 옮김","敎友社","2009","자료실","9788981727840 ","실해석학: 전혀 새로운 접근(2판)(양장본 HardCover)","DAVID M BRESSOUD","허민","9788981727840.0","교우사","2009-03-02","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1137258%3Ftimestamp%3D20221025114602","https://search.daum.net/search?w=bookpage&bookId=1137258&q=%EC%8B%A4%ED%95%B4%EC%84%9D%ED%95%99%3A+%EC%A0%84%ED%98%80+%EC%83%88%EB%A1%9C%EC%9A%B4+%EC%A0%91%EA%B7%BC%282%ED%8C%90%29%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29"," "
"醫學的 人間學","진교훈 지음","서울대학교출판부","2003","자료실","8952103378 ","의학적 인간학:의학철학의 기초","진교훈","","9788952103376.0","서울대학교출판부","2002-02-28","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F631590%3Ftimestamp%3D20190124030238","https://search.daum.net/search?w=bookpage&bookId=631590&q=%EC%9D%98%ED%95%99%EC%A0%81+%EC%9D%B8%EA%B0%84%ED%95%99%3A%EC%9D%98%ED%95%99%EC%B2%A0%ED%95%99%EC%9D%98+%EA%B8%B0%EC%B4%88"," "
"Life 3.0","Max Tegmark Author","Vintage Books","2017","자료실","9781101970317 ","Life 3.0","맥스 테그마크","","9781101970317.0","Vintage Books USA","2018-07-31","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F3558001%3Ftimestamp%3D20250211113909","https://search.daum.net/search?w=bookpage&bookId=3558001&q=Life+3.0"," "
"수학의 기초와 기본 개념","하워드 이브스 지음; 허민, 오혜영 공옮김","경문사","2014(9쇄)","자료실","8972822175 ","수학의 기초와 기본 개념(경문수학산책5)","HOWARD EVES","허민 외","9788972822172.0","경문사","1997-04-16","","https://search.daum.net/search?w=bookpage&bookId=1009319&q=%EC%88%98%ED%95%99%EC%9D%98+%EA%B8%B0%EC%B4%88%EC%99%80+%EA%B8%B0%EB%B3%B8+%EA%B0%9C%EB%85%90%28%EA%B2%BD%EB%AC%B8%EC%88%98%ED%95%99%EC%82%B0%EC%B1%855%29"," "
"이토록 아름다운 세살","아멜리 노통 지음; 전미연 옮김","문학세계사","2004","자료실","8970752447 ","이토록 아름다운 세살","아멜리 노통브","전미연","9788970752440.0","문학세계사","2002-02-15","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F968353%3Ftimestamp%3D20221025121909","https://search.daum.net/search?w=bookpage&bookId=968353&q=%EC%9D%B4%ED%86%A0%EB%A1%9D+%EC%95%84%EB%A6%84%EB%8B%A4%EC%9A%B4+%EC%84%B8%EC%82%B4"," "
"The Merchant of Venice","William Shakespeare 지음","OXFORD UNIVERSITY PRESS","2016","자료실","9780194209717 ","The Merchant of Venice","윌리엄 셰익스피어","","9780194209717.0","Oxford University Press","2017-02-01","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F3434069%3Ftimestamp%3D20250401113903","https://search.daum.net/search?w=bookpage&bookId=3434069&q=The+Merchant+of+Venice"," "
"(미야모토 무사시)오륜서","미야모토무사시 지음; 류서우징 풀어씀; 노만수 옮김","일빛","2015(3쇄)","자료실","9788956451527 ","오륜서","미야모토 무사시, 류서우징 (풀어씀)","노만수","9788956451527.0","일빛","2011-02-21","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F734788%3Ftimestamp%3D20221011090747","https://search.daum.net/search?w=bookpage&bookId=734788&q=%EC%98%A4%EB%A5%9C%EC%84%9C"," "
"인간적인 너무나 인간적인 수학","마이클 길롄 지음; 박영훈 옮김","경문사","2010(5쇄)","자료실","8972823813 ","인간적인 너무나 인간적인 수학(경문수학산책9)","MICHAEL GUILLEN","박영훈","9788972823810.0","경문사","2010-09-15","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1008443%3Ftimestamp%3D20221011090535","https://search.daum.net/search?w=bookpage&bookId=1008443&q=%EC%9D%B8%EA%B0%84%EC%A0%81%EC%9D%B8+%EB%84%88%EB%AC%B4%EB%82%98+%EC%9D%B8%EA%B0%84%EC%A0%81%EC%9D%B8+%EC%88%98%ED%95%99%28%EA%B2%BD%EB%AC%B8%EC%88%98%ED%95%99%EC%82%B0%EC%B1%859%29"," "
"(The)End of poverty","Jeffrey D. Sachs 지음","Penguin Books","2015","자료실","9780143036586 ","The End of Poverty","","","9780143036586.0","","2006-02-28","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5084565%3Ftimestamp%3D20250409133715","https://search.daum.net/search?w=bookpage&bookId=5084565&q=The+End+of+Poverty"," "
"지도 세상을 읽는 생각의 프레임","송규봉 지음","북이십일 21세기북스","2014(5쇄)","자료실","9788950930899 ","지도: 세상을 읽는 생각의 프레임(상상에 빠진 인문학 시리즈)","송규봉","","9788950930899.0","21세기북스","2011-05-11","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F624175%3Ftimestamp%3D20220630132707","https://search.daum.net/search?w=bookpage&bookId=624175&q=%EC%A7%80%EB%8F%84%3A+%EC%84%B8%EC%83%81%EC%9D%84+%EC%9D%BD%EB%8A%94+%EC%83%9D%EA%B0%81%EC%9D%98+%ED%94%84%EB%A0%88%EC%9E%84%28%EC%83%81%EC%83%81%EC%97%90+%EB%B9%A0%EC%A7%84+%EC%9D%B8%EB%AC%B8%ED%95%99+%EC%8B%9C%EB%A6%AC%EC%A6%88%29"," "
"이근삼 전집. 2: 희곡","이근삼 저자","연극과인간","2008","자료실","9788957862711 ","이근삼 전집 2","이근삼","","9788957862711.0","연극과인간","2008-12-13","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F766629%3Ftimestamp%3D20220701035745","https://search.daum.net/search?w=bookpage&bookId=766629&q=%EC%9D%B4%EA%B7%BC%EC%82%BC+%EC%A0%84%EC%A7%91+2"," "
"말의 품격","이기주 지음","황소북스","2017","자료실","9788997092772 ","말의 품격(7주년 기념 플라워 에디션)","이기주","","9788997092772.0","황소북스","2017-05-29","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1478622%3Ftimestamp%3D20250403113649","https://search.daum.net/search?w=bookpage&bookId=1478622&q=%EB%A7%90%EC%9D%98+%ED%92%88%EA%B2%A9%287%EC%A3%BC%EB%85%84+%EA%B8%B0%EB%85%90+%ED%94%8C%EB%9D%BC%EC%9B%8C+%EC%97%90%EB%94%94%EC%85%98%29"," "
"과자로 맛보는 와삭바삭 프랑스 역사","이케가미 슌이치 지음; 김경원 옮김; 강혜영 그림","돌베개","2015","자료실","9788971996881 ","과자로 맛보는 와삭바삭 프랑스 역사","이케가미 순이치","김경원","9788971996881.0","돌베개","2015-09-07","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F994761%3Ftimestamp%3D20241115114207","https://search.daum.net/search?w=bookpage&bookId=994761&q=%EA%B3%BC%EC%9E%90%EB%A1%9C+%EB%A7%9B%EB%B3%B4%EB%8A%94+%EC%99%80%EC%82%AD%EB%B0%94%EC%82%AD+%ED%94%84%EB%9E%91%EC%8A%A4+%EC%97%AD%EC%82%AC"," "
"수업을 왜 하지?","서근원 지음","우리교육","2017(14쇄)","자료실","9788980406302 ","수업을 왜 하지","서근원","","9788980406302.0","우리교육","2007-02-10","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1121443%3Ftimestamp%3D20241101113810","https://search.daum.net/search?w=bookpage&bookId=1121443&q=%EC%88%98%EC%97%85%EC%9D%84+%EC%99%9C+%ED%95%98%EC%A7%80"," "
"나b책","김사과 지음","창비","2011","자료실","9788936456399 ","나b책","김사과","","9788936456399.0","창비","2019-06-10","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F533814%3Ftimestamp%3D20231124164950","https://search.daum.net/search?w=bookpage&bookId=533814&q=%EB%82%98b%EC%B1%85"," "
"스트링 코스모스","남순건 지음","지호","2007","자료실","9788959090259 ","스트링 코스모스","남순건","","9788959090259.0","지호","2007-03-28","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F792840%3Ftimestamp%3D20190125015119","https://search.daum.net/search?w=bookpage&bookId=792840&q=%EC%8A%A4%ED%8A%B8%EB%A7%81+%EC%BD%94%EC%8A%A4%EB%AA%A8%EC%8A%A4"," "
"나, 황진이","김탁환 지음; 백범영 그림","푸른역사","2014","자료실","8991510345 ","나 황진이","김탁환","","9788991510340.0","푸른역사","2006-10-18","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1354733%3Ftimestamp%3D20220803201332","https://search.daum.net/search?w=bookpage&bookId=1354733&q=%EB%82%98+%ED%99%A9%EC%A7%84%EC%9D%B4"," "
"허균, 최후의 19일. 상. 1","김탁환 지음","민음사","2010","자료실","9788937482410 ","허균 최후의 19일(상)(양장본 HardCover)","김탁환","","9788937482410.0","민음사","2009-01-23","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F541340%3Ftimestamp%3D20190123173354","https://search.daum.net/search?w=bookpage&bookId=541340&q=%ED%97%88%EA%B7%A0+%EC%B5%9C%ED%9B%84%EC%9D%98+19%EC%9D%BC%28%EC%83%81%29%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29"," "
"(10대와 통하는)일하는 청소년의 권리 이야기","이수정 글; 홍윤표 그림","철수와영희","2015","자료실","9788993463866 ","10대와 통하는 일하는 청소년의 권리 이야기","이수정","","9788993463866.0","철수와영희","2015-11-13","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1396061%3Ftimestamp%3D20241116114244","https://search.daum.net/search?w=bookpage&bookId=1396061&q=10%EB%8C%80%EC%99%80+%ED%86%B5%ED%95%98%EB%8A%94+%EC%9D%BC%ED%95%98%EB%8A%94+%EC%B2%AD%EC%86%8C%EB%85%84%EC%9D%98+%EA%B6%8C%EB%A6%AC+%EC%9D%B4%EC%95%BC%EA%B8%B0"," "
"역사로 보는 환경","김정규 지음","고려대학교출판부","2009","자료실","9788976416810 ","역사로 보는 환경(반양장)","김정규","","9788976416810.0","고려대학교출판부","2009-03-10","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1072884%3Ftimestamp%3D20221011191011","https://search.daum.net/search?w=bookpage&bookId=1072884&q=%EC%97%AD%EC%82%AC%EB%A1%9C+%EB%B3%B4%EB%8A%94+%ED%99%98%EA%B2%BD%28%EB%B0%98%EC%96%91%EC%9E%A5%29"," "
"이강백 희곡전집. 2","이강백 지음","평민사","2004","자료실","9788971155295 ","이강백 희곡전집. 2","이강백","","9788971155295.0","평민사","2009-03-05","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F981216%3Ftimestamp%3D20190126080737","https://search.daum.net/search?w=bookpage&bookId=981216&q=%EC%9D%B4%EA%B0%95%EB%B0%B1+%ED%9D%AC%EA%B3%A1%EC%A0%84%EC%A7%91.+2"," "
"한국의 정원, 선비가 거닐던 세계","허균 지음; 이갑철 사진","다른세상","2002","자료실","8977660335 ","국의 정원 선비가 거닐던 세계( 문화의 향기 2)","허균","","9788977660335.0","다른세상","2002-05-27","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1087103%3Ftimestamp%3D20220704155604","https://search.daum.net/search?w=bookpage&bookId=1087103&q=%EA%B5%AD%EC%9D%98+%EC%A0%95%EC%9B%90+%EC%84%A0%EB%B9%84%EA%B0%80+%EA%B1%B0%EB%8B%90%EB%8D%98+%EC%84%B8%EA%B3%84%28+%EB%AC%B8%ED%99%94%EC%9D%98+%ED%96%A5%EA%B8%B0+2%29"," "
"음향과 분노","윌리엄 포크너 지음; 정인섭 옮김","북피아","2010","자료실","9788987522968 ","음향과 분노","윌리엄 포크너","","9788987522968.0","북피아","2010-10-27","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1256156%3Ftimestamp%3D20221025114949","https://search.daum.net/search?w=bookpage&bookId=1256156&q=%EC%9D%8C%ED%96%A5%EA%B3%BC+%EB%B6%84%EB%85%B8"," "
"브루너 교육의 과정","Jerome S. Bruner 著; 이홍우 譯","배영사","2010","자료실","9788970721552 ","브루너 교육의 과정(중판)(교육신서 5)","JS브루너","이홍우","9788970721552.0","배영사","2010-03-15","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F967030%3Ftimestamp%3D20190126064346","https://search.daum.net/search?w=bookpage&bookId=967030&q=%EB%B8%8C%EB%A3%A8%EB%84%88+%EA%B5%90%EC%9C%A1%EC%9D%98+%EA%B3%BC%EC%A0%95%28%EC%A4%91%ED%8C%90%29%28%EA%B5%90%EC%9C%A1%EC%8B%A0%EC%84%9C+5%29"," "
"신학-정치론","베네딕트 데 스피노자 지음; 김호경 옮김","책세상","2002","자료실","9788970133508 ","신학-정치론(책세상문고 고전의 세계 18)","스피노자","김호경","9788970133508.0","책세상","2015-03-20","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F955188%3Ftimestamp%3D20221025121629","https://search.daum.net/search?w=bookpage&bookId=955188&q=%EC%8B%A0%ED%95%99-%EC%A0%95%EC%B9%98%EB%A1%A0%28%EC%B1%85%EC%84%B8%EC%83%81%EB%AC%B8%EA%B3%A0+%EA%B3%A0%EC%A0%84%EC%9D%98+%EC%84%B8%EA%B3%84+18%29"," "
"논리-철학 논고","루트비히 비트겐슈타인 지음; 이영철 옮김","책세상","2006","자료실","9788970135571 ","논리 철학 논고(비트겐슈타인 선집 1)(양장본 HardCover)","루트비히 비트겐슈타인","이영철","9788970135571.0","책세상","2006-05-01","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F955194%3Ftimestamp%3D20220129191035","https://search.daum.net/search?w=bookpage&bookId=955194&q=%EB%85%BC%EB%A6%AC+%EC%B2%A0%ED%95%99+%EB%85%BC%EA%B3%A0%28%EB%B9%84%ED%8A%B8%EA%B2%90%EC%8A%88%ED%83%80%EC%9D%B8+%EC%84%A0%EC%A7%91+1%29%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29"," "
"페다고지","파울루 프레이리 지음; 남경태 옮김","그린비출판사","2009","자료실","9788976827289 ","페다고지(2판)(그린비 크리티컬 컬렉션 5)","파울로 프레이리","남경태","9788976827289.0","그린비","2009-07-15","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1078147%3Ftimestamp%3D20190126172658","https://search.daum.net/search?w=bookpage&bookId=1078147&q=%ED%8E%98%EB%8B%A4%EA%B3%A0%EC%A7%80%282%ED%8C%90%29%28%EA%B7%B8%EB%A6%B0%EB%B9%84+%ED%81%AC%EB%A6%AC%ED%8B%B0%EC%BB%AC+%EC%BB%AC%EB%A0%89%EC%85%98+5%29"," "
"영화와 문학의 서술학","프랑시스 바누아 지음; 송지연 옮김","東文選","2003","자료실","8980382707 ","영화와 문학의 서술학","프랑시스 바누아","송지연","9788980382705.0","동문선","2003-10-20","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1123402%3Ftimestamp%3D20190126220447","https://search.daum.net/search?w=bookpage&bookId=1123402&q=%EC%98%81%ED%99%94%EC%99%80+%EB%AC%B8%ED%95%99%EC%9D%98+%EC%84%9C%EC%88%A0%ED%95%99"," "
"(모차르트)하이든 현악4중주곡","존 어빙 지음; 김지순 옮김","東文選","2003","자료실","8980384475 ","하이든 현악 4중주곡","존 어빙","김지순","9788980384471.0","동문선","2003-08-20","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1124895%3Ftimestamp%3D20221011171827","https://search.daum.net/search?w=bookpage&bookId=1124895&q=%ED%95%98%EC%9D%B4%EB%93%A0+%ED%98%84%EC%95%85+4%EC%A4%91%EC%A3%BC%EA%B3%A1"," "
"원예식재와 조경","노엘 킹스버리 지음; 이영병 옮김","시그마프레스","2006","자료실","8958322500 ","원예식재와 조경(양장본 HardCover)","노엘 킹스버리","이영병","9788958322504.0","시그마프레스","2006-12-10","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F777674%3Ftimestamp%3D20220714035639","https://search.daum.net/search?w=bookpage&bookId=777674&q=%EC%9B%90%EC%98%88%EC%8B%9D%EC%9E%AC%EC%99%80+%EC%A1%B0%EA%B2%BD%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29"," "
"(한밤중에 개에게 일어난)의문의 사건","마크 해던 지음; 유은영 옮김","문학수첩 리틀북","2005","자료실","8989708990 ","한밤중에 개에게 일어난 의문의 사건(양장본 HardCover)","마크 해던","유은영","9788989708995.0","문학수첩리틀북스","2005-08-08","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1309355%3Ftimestamp%3D20220601160252","https://search.daum.net/search?w=bookpage&bookId=1309355&q=%ED%95%9C%EB%B0%A4%EC%A4%91%EC%97%90+%EA%B0%9C%EC%97%90%EA%B2%8C+%EC%9D%BC%EC%96%B4%EB%82%9C+%EC%9D%98%EB%AC%B8%EC%9D%98+%EC%82%AC%EA%B1%B4%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29"," "
"광기의 역사","미셸 푸코 지음; 이규현 옮김; 오생근 감수","나남","2003","자료실","9788930039000 ","광기의 역사","미셸 푸코","이규현","9788930039000.0","나남","2010-10-10","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F468559%3Ftimestamp%3D20220702180329","https://search.daum.net/search?w=bookpage&bookId=468559&q=%EA%B4%91%EA%B8%B0%EC%9D%98+%EC%97%AD%EC%82%AC"," "
"언어","김진우 지음","탑출판사","2004","자료실","8934201088 ","언어","김진우","","9788934201083.0","탑출판사","2007-02-26","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F515252%3Ftimestamp%3D20190123151514","https://search.daum.net/search?w=bookpage&bookId=515252&q=%EC%96%B8%EC%96%B4"," "
"(천재들이 즐기는)수학퍼즐게임","한다 료스케 지음; 이정환 옮김; 한국전뇌개발연구소 감소","일출봉","2009","자료실","9788992624640 ","천재들이 즐기는 수학 퍼즐 게임","한다 료스케","이정환","9788992624640.0","일출봉","2009-02-25","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1385417%3Ftimestamp%3D20190128070045","https://search.daum.net/search?w=bookpage&bookId=1385417&q=%EC%B2%9C%EC%9E%AC%EB%93%A4%EC%9D%B4+%EC%A6%90%EA%B8%B0%EB%8A%94+%EC%88%98%ED%95%99+%ED%8D%BC%EC%A6%90+%EA%B2%8C%EC%9E%84"," "
"재미있는 흙 이야기","히메노 켄지, 세키 노부코, 니시자와 타츠오 공저; 오오노 하루오 감수; 이승호, 박시현 공역","씨아이알","2009","자료실","9788992259309 ","재미있는 흙이야기","히메노 켄지, 니시자와 타츠오, 세키 노부코","이승호","9788992259309.0","씨아이알","2009-09-30","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1374617%3Ftimestamp%3D20220925173447","https://search.daum.net/search?w=bookpage&bookId=1374617&q=%EC%9E%AC%EB%AF%B8%EC%9E%88%EB%8A%94+%ED%9D%99%EC%9D%B4%EC%95%BC%EA%B8%B0"," "
"(이야기로 아주 쉽게 배우는)대수학","더글라스 다우닝 지음; 이정국 옮김","이지북","2008","자료실","9788956243085 ","이야기로 아주 쉽게 배우는 대수학(ez-수학 3)","더글라스 다우닝","이정국","9788956243085.0","이지북","2008-03-19","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F727993%3Ftimestamp%3D20211120144710","https://search.daum.net/search?w=bookpage&bookId=727993&q=%EC%9D%B4%EC%95%BC%EA%B8%B0%EB%A1%9C+%EC%95%84%EC%A3%BC+%EC%89%BD%EA%B2%8C+%EB%B0%B0%EC%9A%B0%EB%8A%94+%EB%8C%80%EC%88%98%ED%95%99%28ez-%EC%88%98%ED%95%99+3%29"," "
"동물과 인간생활","강만종, 김광현, 김태환 외편저","전남대학교출판부","2011","자료실","9788975989100 ","동물과 인간생활(개정판)","강만종","","9788975989100.0","전남대학교출판부","2011-03-07","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1065831%3Ftimestamp%3D20221025124929","https://search.daum.net/search?w=bookpage&bookId=1065831&q=%EB%8F%99%EB%AC%BC%EA%B3%BC+%EC%9D%B8%EA%B0%84%EC%83%9D%ED%99%9C%28%EA%B0%9C%EC%A0%95%ED%8C%90%29"," "
