"자료명","저자","출판사","출판년도","소장처","제목","번역자","ISBN","출간일","썸네일","URL","책소개"
"까다롭게 좋아하는 사람","엄지혜","마음산책","2024","신착도서","까다롭게 좋아하는 사람","","8960908622 9788960908628","2024-01-20","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6542878%3Ftimestamp%3D20241001160348","https://search.daum.net/search?w=bookpage&bookId=6542878&q=%EA%B9%8C%EB%8B%A4%EB%A1%AD%EA%B2%8C+%EC%A2%8B%EC%95%84%ED%95%98%EB%8A%94+%EC%82%AC%EB%9E%8C","첫 책 『태도의 말들』로 많은 독자의 공감을 불러일으켰던 엄지혜 작가의 신작 에세이 『까다롭게 좋아하는 사람』이 출간되었다. 온라인 서점의 매거진 〈채널예스〉와 팟캐스트 〈책읽아웃〉을 만들며 책과 관련된 사람들을 만나온 작가는, 타인을 면밀히 관찰하고 타인의 행동에 대해 오래 생각하는 사람이다. 첫 책에서 인터뷰하며 들었던 말이나 책을 읽다가 발견한 문장 중 ‘혼자 알기 아까운 말들’을 모으고 엮어 존중과 배려에 대해 이야기했다면, 이번 책 『까다롭게 좋아하는 사람』에서는 자신의 호오와 생각을 본격적으로 드러내며 ‘좋아하는 사람’의 특징에 대해 쓴다. 직장에 다니고, 독자를 만나고, 아이를 키우며 다양한 사람들과 대화를 나눠본 작가는, 좋아하고 의지하는 사람, 함께 일하고 싶은 사람에 대한 기준과 목록을 비교적 선명하게 지니고 있다. 구체적인 일화와 함께 제시된 이 목록을 차례로 읽다 보면 좋아하는 사람과 싫어하는 사람에 대해 곰곰이 생각하게 되고, 그 근원에 자리한 진심은 무엇인지 성찰하게 된다.  나는 사랑에 금세 빠지는 ‘금사빠’가 아니다. 굉장히 신중하게 사람을 좋아하고 싫어한다. 나에게 실수를 했어도 악의가 없었다면 싫어하지 않는다. 다만 좋아하진 않을 뿐, 그리고 거리감을 둘 뿐이다. 사람을 공정하게 대하고 싶은 욕망, 나에게 잘하지 않아도 좋은 사람이라면 좋아하고 싶은 마음, 나는 이런 마음에 대해 생각을 참 많이 하는 사람이다. _113~114쪽  “침묵하는 사람은 자유로울 수 없다” 불편함을 감당하며 더 나은 관계를 쌓아가기  작가는 타인과 천천히 친해지는 사람이다. 금방 사랑에 빠지는 법은 없다. 오래 지켜보다가 조금씩 마음을 연다. 그렇게 한번 마음을 열면 끝까지 관계를 유지하려 노력한다. 인간관계에 진지하고 까다로운 만큼, 매사 좋은 게 좋은 거라고 쉬이 넘어가지도 않는다. 무례한 행동을 하거나 경솔한 사람에게는 마음을 서서히 닫는다. 작가는 “모든 사람이 내 마음 같을 수 없고, 그러길 바라서도 안 되는 것이 타인의 마음”이라고 썼다. 섣불리 재단하거나 반응하지 말고, 타인의 상황을 신중하게 헤아려야 한다는 뜻이다. 작가가 쓴 ‘좋아하는 사람’의 특징은 곧 ‘닮고 싶은 사람’의 모습이기도 하다. 불편한 관계를 받아들이는 사람, 정확하게 칭찬하는 사람, 자발적인 사람 등 대부분 자신의 욕구와 호오를 선명하게 알고 표현하며 상대에게 부적절한 죄책감을 안기려 하지 않는 사람들이다. 이들은 모두와 잘 지내려 전전긍긍하지 않고, 소수일지라도 진심 어린 마음을 주고받는 관계를 맺으려 한다. 진정으로 좋은 사람이란 어떤 사람일까. 당장의 어색함을 마주하기 싫어서 침묵하거나 지나치게 우유부단한 태도를 취하는 것은, 결국 자신의 선택에 책임을 지고 싶지 않은 마음과 다르지 않을 것이다. 때로는 단호한 태도를 취할 수 있어야 자신에게든 타인에게든 정말로 ‘좋은 사람’이 될 수 있다.  좋아하지 않는 사람이고 존경할 수 없는 사람인데, 내게 올 불이익을 생각하며... 괜찮은 척하고 싶지 않다. 불편한 관계를 받아들이고 사는 사람이 나는 더 좋다. _16쪽  작가는 불편한 관계에 단호하게 대처하는 만큼, 서로 존중하고 힘을 북돋아주는 관계에는 특별한 관심을 기울인다. 특히 도움이 필요한 사람의 신호를 놓치지 않기 위해 늘 주변을 살핀다. 자신이 어려움에 처했을 때 먼저 손 내밀어주었던 사람들의 고마움을 누구보다 잘 알기 때문이다. 그는 타인의 진심은 행동을 통해 알아볼 수 있다고 이야기한다. 손익을 따지지 않고 도와주거나 힘들 때 적절한 위로의 말을 건네는 것, 모두 상대를 진심으로 염려하기에 가능한 일이다. 지극히 사려 깊고 투명한 태도에서 비롯되는 ‘귀한 마음’이다.  정말 귀하다고 생각하는 마음들이 있다. 나에게 어떠한 호의를 받지 않았음에도 불구하고 힘들 때 먼저 찾아와주는 사람. 도움을 줬지만 어떠한 보상이나 반응을 기대하지 않는 사람. 자신이 도와줄 수 있다는 것 자체만으로 기뻐하는 사람. 내가 되고 싶은 사람이기도 하다. _170쪽   “단 하나를 꼽으라 한다면 사랑이 많은 사람이 되고 싶다” 돌봄을 통해 이야기하는 관계의 확장  엄지혜 작가는 자신의 정체성을 ‘엄마, 독자, 직장인’이라고 쓰곤 했다. 끊임없이 읽고 쓰면서 육아를 하는 일이 자신의 작가적 바탕이라고 여겼기 때문이다. 돌봄과 관련된 책이 출간되면 애정으로 찾아 읽고 소개했으며, 돌봄에 대해 쓴 앤솔러지에 공저로 참여하기도 했다. 작업과 육아를 함께하는 작가들을 인터뷰할 때면 “작업에만 집중하지 못하는 시기를 어떻게 극복하고 균형을 잡았는가”라는 질문도 던졌다. 돌봄과 일 사이에서 균형을 잡는 것은 아이와의 관계를 잘 쌓아가기 위해서도 꼭 필요한 까닭이다. 『까다롭게 좋아하는 사람』에는 작가가 직장인으로서뿐 아니라 다른 엄마들과 쌓아가는 관계에 대해서도 쓰여 있다. SNS로 엄마들과 소통하고 공감을 나누며, 아이를 돌보느라 자기 자신은 돌보지 못하는 엄마들에게 응원을 보내기도 한다. 돌봄을 받아야 하는 신생아로 태어나 돌봄을 수행하는 어른으로 성장하고 다시 돌봄을 받는 노인이 되기까지, 작가는 돌봄을 피할 수 없는 인간의 삶도 이야기한다. ‘관계’의 의미를 일과 사회생활에서뿐 아니라 돌봄과 사회 영역으로 확장시킨다. 『까다롭게 좋아하는 사람』을 통해 일터에서든 육아에서든, 타인을 섬세하게 살피고 들여다보는 것은 내가 어떤 사람인가 알아가는 과정임을 깨닫게 된다. 더욱 조심스럽게, 신중한 태도로 사람을 대하고 싶어진다. 더 좋은 사람이 되고 싶고, 더 나은 관계를 맺고 싶은 것은 모두의 바람일 것이다.  모든 사람에게 좋은 사람이 되는 건 불가능하다. 나쁜 사람에게는 나쁜 사람이 되어야 할 때도 있으니까. 다만 내가 바라는 것은 손 내밀어주길 바라는 사람의 신호를 모른 체하지 않고 살아가는 삶, 고마운 마음을 애써 꽁꽁 싸매지 않고 자주 표현하며 살아가는 삶이다. _「에필로그」에서"
"한 사람의 노래가 온 거리에 노래를","신경림","창비","2024","신착도서","한 사람의 노래가 온 거리에 노래를","","893640301X 9788936403010","2024-03-29","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6596171%3Ftimestamp%3D20250322155751","https://search.daum.net/search?w=bookpage&bookId=6596171&q=%ED%95%9C+%EC%82%AC%EB%9E%8C%EC%9D%98+%EB%85%B8%EB%9E%98%EA%B0%80+%EC%98%A8+%EA%B1%B0%EB%A6%AC%EC%97%90+%EB%85%B8%EB%9E%98%EB%A5%BC","시인들이 추천한 ‘내가 사랑하는 시’ 한권으로 만나는 우리 시의 빛나는 역사  지난 50년간 한국시의 중추를 이뤄온 창비시선이 500번을 맞아 기념시선집 『이건 다만 사랑의 습관』과 함께 특별시선집 『한 사람의 노래가 온 거리에 노래를』을 출간했다. 특별시선집은 창비시선이 500번이라는 놀라운 궤적을 그려냈다는 사실을 축하하는 동시에 이것이 창비시선을 꾸준히 사랑해준 독자들이 있었기에 가능했음을 되새기기 위한 기획의 일환으로 꾸려졌다. 이번 시선집은 시인들이 직접 즐겨 읽는 시편들을 모았다는 점에서 뜻깊은 동시에 흥미를 더한다. 추천인은 『이건 다만 사랑의 습관』의 저자인 창비시선 400번대의 시인들이며, 창비시선 전체 작품을 추천대상작으로 했다. 그 결과 한국시의 빛나는 역사가 한권에 모인 것은 물론 형형색색 다채롭고도 읽는 재미가 가득한 시선집이 탄생할 수 있었다. 특별시선집이라는 기획 취지에 걸맞게 7천원이라는 저렴한 가격을 책정함으로써 『한 사람의 노래가 온 거리에 노래를』은 시를 사랑하는 독자에게는 더할 나위 없는 선물이, 시가 어렵기만 했던 이들에게는 더없이 좋은 마중물이 될 전망이다.  “창비시선이 500번째 시집을 낸 것은 한국시의 저력을 보여주는 동시에 이 땅에서 당당하고 떳떳한 삶을 갈망해온 존재들의 힘을 증명한다.”(송종원, 「여는 글」)  『한 사람의 노래가 온 거리에 노래를』에는 창비시선 50년의 역사가 녹아 있다. 창비시선의 시작을 알린 『농무』(신경림)의 수록작 「그 여름」에서 따온 제목부터 그러한데, 이는 유미주의에 매몰되거나 개인에 침잠하기보다 더 나은 세상을 함께 꿈꿔온 창비시선의 정신을 표방했다. 창비시선은 현실과 맞닿은 주제와 생생한 시어로 한국시단과 독자들에게 신선한 바람을 불러일으켰고, ‘보통 사람’의 현실을 그려낸 시집들로 열렬한 인기를 이끌어냈다. 시대와 공명하며 함께 맞서 싸우는 동시에 나날이 미학적 갱신을 이루어냄으로써 ‘민중성’과 ‘문학성’을 동시에 추구해온 것이 창비시선의 역사라 할 수 있다. 특히 암담하고 비관이 가득한 시기마다 새로운 세계의 가능성을 제시하며 독자와 함께 호흡해온 것은 창비시선의 자랑이자 긍지다. 이러한 독자들의 호응 덕분에 창비시선은 비약적인 성장을 거듭해왔다. 1970년대 1년 다섯권 남짓 출간되던 창비시선은 2010년대 평균 열네권 출간을 넘어섰다. 시집의 시장 주목도가 떨어진 2010년대 이후에도 『울고 들어온 너에게』 『온』 『여름 언덕에서 배운 것』 『사랑을 위한 되풀이』 『슬픔이 택배로 왔다』 『일하고 일하고 사랑을 하고』 등 독자의 호응을 얻는 시집을 꾸준히 펴냄으로써 창비시선의 사회적·문학적 가치를 증명하고 있다. 물론 양적인 성장이 전부가 아니다. 창비시선이 지향하는 가치 또한 나날이 다채로워지며 그 몸피를 불려나가는 중이다. 노동·지역·통일 문제를 넘어 이제는 더욱 폭넓게 차별에 반대하고 인간과 비인간의 경계를 넘어 연대하는 감각을 벼려내고 있다. 서정 또한 한층 웅숭깊어졌으며, 다양한 ...개성과 색다른 감동을 선보이고 있다. 『한 사람의 노래가 온 거리에 노래를』은 이처럼 권위와 전통을 자랑하는 창비시선의 시를 한국시단을 대표하는 시인들이 가려 뽑은 시선집이다. ‘사람의 시’를 모은다면 이보다 뛰어난 시선집이 있을 수 있을까. 시가 소외되고, 아름다움이 소외되고, 가치가 소외되고, 사람이 소외되는 지금, 우리에게 필요한 단 한권은 바로 이 시집이라 하겠다.  한편 창비는 창비시선 500 발간을 기념해 두종의 시선집 출간(『이건 다만 사랑의 습관』 『한 사람의 노래가 온 거리에 노래를』) 외에도 다양한 행사를 기획 중이다. 서울 마포구 망원동 ‘디콜라보’에서는 4월 19일(금)부터 28일(일)까지 10일간 팝업스토어가 열린다. 여기에는 강우근, 유수연, 유현아, 이종민, 정다연, 조온윤, 최백규, 최지은, 최지인, 한재범 등 젊은 시단을 대표하는 열명의 시인이 일일 점원으로 참여해 일하며 독자들과 소통한다. 아울러 4월 27일(토) 오후 2시에는 『이건 다만 사랑의 습관』의 편자 안희연·황인찬의 북토크가 개최되어 시를 사랑하는 이들에게 따뜻한 봄 선물과 같은 이야기를 들려줄 예정이다. 팝업스토어는 창비시선을 활용한 다양한 굿즈 판매 및 전시와 더불어 올해로 출시 7년을 맞은 시 전문 애플리케이션 ‘시요일’ 체험 부스가 열리는 등 다양한 볼거리와 즐길거리로 가득할 전망이다. 아울러 창비는 전국의 도서관 및 ‘창비부산’과 연계해 시를 사랑하는 지역의 독자들을 대상으로 출간 기념 전국 순회 북토크를 기획 중이다. 김해자 시인과 함께하는 충남 서천도서관 만남(4월 15일)을 시작으로 15곳가량의 도서관과 일정을 조율 중에 있으며, 행사는 창비의 SNS를 통해 공지된다."
"아침은 생각한다","문태준","창비","2022","신착도서","아침은 생각한다","","8936424718 9788936424718","2022-02-25","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6014263%3Ftimestamp%3D20241207151354","https://search.daum.net/search?w=bookpage&bookId=6014263&q=%EC%95%84%EC%B9%A8%EC%9D%80+%EC%83%9D%EA%B0%81%ED%95%9C%EB%8B%A4","간결한 언어와 투명한 이미지로 서정시의 정수를 보여주며 수많은 독자들에게 사랑받아온 문태준이 여덟번째 시집 『아침은 생각한다』를 창비시선으로 출간했다. 4년 만에 펴내는 이번 시집에서 시인은 자연과 인간이 공존하는 세계의 아늑한 풍경을 섬세한 필치로 담아낸다. 뭇 생명들의 품속에서 삶의 순간들을 바라보는 그윽한 시선과 자연과 더불어 살아가고자 하는 선한 마음이 깃든 단아한 시편들이 따뜻한 정감을 불러일으킨다. “공들임의 언어”와 “공들임의 마음”(이경수, 해설)으로 빚어낸 한편 한편의 시를 시인의 포근한 숨결을 따라 읽다보면 어느새 몸과 마음이 정화되는 느낌으로 충만해진다."
"(내가 만난) 소년에 대하여","천종호","우리학교","2021","신착도서","내가 만난 소년에 대하여","","1190337681 9791190337687","2021-03-15","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5618335%3Ftimestamp%3D20240424153314","https://search.daum.net/search?w=bookpage&bookId=5618335&q=%EB%82%B4%EA%B0%80+%EB%A7%8C%EB%82%9C+%EC%86%8C%EB%85%84%EC%97%90+%EB%8C%80%ED%95%98%EC%97%AC","〈소년심판〉의 모티브가 된 천종호 판사 눈물과 감동의 소년재판 이야기  『내가 만난 소년에 대하여』는 ‘소년범의 대부’ 천종호 판사가 그동안 펴낸 책에서 독자의 공감을 크게 받은 글을 추려 펴낸 특별판이다. 청소년부터 어른까지 쉽게 읽을 수 있도록 문장을 전부 다듬고 내용을 풍성하게 보완하였으며 따뜻하고 정겨운 일러스트를 덧붙였다. 소년법과 관련한 최근의 논쟁을 비롯해 법과 정의, 법치주의와 공동체에 대한 글도 새롭게 수록했다. 법정에서는 매서운 호통으로 소년들을 떨게 만들지만 재판이 끝나고 나면 열악한 소년들의 처지에 눈물 흘리고 아이들의 가슴 아픈 사연에 귀 기울여 온 천종호 판사. 그는 거듭 말한다. 비행의 거푸집을 벗기면 삶의 부조리와 폭력 앞에 아무런 보호막 없이 내던져진 아이들의 유약함이 고스란히 드러난다고. 세상에는 누구도 겪어서는 안 되는 상황에 놓인 아이들이 많고, 어떤 아이도 그런 환경에 처해서는 안 된다고. 우리가 불안과 냉소의 시간을 보내는 동안 천종호 판사는 그 무엇도 두려워하지 않고 자신의 온몸을 던져 세상을 조금씩 바꾸어 왔다. 이 책은 비난의 목소리만 커져가는 차가운 우리의 공동체에 작지만 빛나는 희망의 온기를 오롯이 전해준다.  * 이 책은 인세 수익 전액을 청소년회복센터에 기부하는 도네이션 북입니다."
"명랑한 은둔자","캐롤라인 냅","바다출판사","2020","신착도서","명랑한 은둔자","김명남","1189932679 9791189932671","2020-09-04","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5459970%3Ftimestamp%3D20241012145850","https://search.daum.net/search?w=bookpage&bookId=5459970&q=%EB%AA%85%EB%9E%91%ED%95%9C+%EC%9D%80%EB%91%94%EC%9E%90","『명랑한 은둔자』는 캐럴라인 냅의 유고 에세이집으로, 캐럴라인 냅이라는 작가의 삶 전반을 빼곡히 담고 있는 초상과 같은 책이다. 캐럴라인 냅은 삶의 미스터리가 크든 작든 그 모두를 예민하게 살피고, 무엇보다 거기서 자기 이해를 갈망했던 작가다. 그는 이 에세이에서 혼자 살고 혼자 일했고, 가족과 친구와 개와 소중한 관계를 맺으며 자기 앞의 고독을 외면하지 않았던 삶을 이야기한다. 또한 알코올과 거식증에 중독되었으나 그로부터 힘겹게 빠져나왔고, 그 과정에서 자신을 옥죄었던 심리적 굴레를 벗어나 자유와 해방감을 경험한 한 인간의 깨달음을 들려준다.    캐럴라인 냅의 삶을 설명할 수 있는 키워드는 다음과 같이 정리할 수 있다. 중독, 결핍, 가족, 반려견, 우정, 사랑, 애착, 일, 성장, 슬픔, 상실, 고립, 고독……. 특히 중독은 냅의 삶에서 빠질 수 없는 키워드다. 그는 알코올 중독과 거식증을 겪으면서 자신이 어디까지 추락할 수 있는지 보았고, 그 까마득한 어둠으로부터 빠져나오기 위해 다시 한 번 자기 자신과 정면으로 맞서는 시간을 보냈다. 누구보다 캐럴라인 냅의 삶을 깊이 이해하고 있는 옮긴이 김명남의 말처럼, 냅은 자기 이해와 수용, 그리고 변화에 관해 이야기하려고 애썼고, 더 자유롭고, 더 즐겁고, 더 자신다운 사람이 되기 위해 희망의 끈을 놓지 않았다. 자신의 강함과 약함을 있는 그대로 받아들이면서 결국 삶의 명랑을 깨달은 저자로부터, 우리는 만난 적 없지만 오래 이어온 듯한 우정을 느낄 수 있을 것이다. 냅의 이야기는 내 이야기 같고, 내 친구 이야기 같다. 이것이 냅의 재능이고, 그의 글이 가진 힘이다."
"너무 잘하려고 애쓰지 마라","나태주","열림원","2022","신착도서","너무 잘하려고 애쓰지 마라","","1170400604 9791170400608","2022-05-31","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6086643%3Ftimestamp%3D20250116235902","https://search.daum.net/search?w=bookpage&bookId=6086643&q=%EB%84%88%EB%AC%B4+%EC%9E%98%ED%95%98%EB%A0%A4%EA%B3%A0+%EC%95%A0%EC%93%B0%EC%A7%80+%EB%A7%88%EB%9D%BC","작고 사소해 보이는 주변의 모든 존재를 애정 가득한 눈으로 시에 담아온 풀꽃 시인 나태주의 신작시집 『너무 잘하려고 애쓰지 마라』가 출간되었다. 힘든 시간을 지나 다시 반짝이는 오늘 앞에 선 우리에게 위로와 응원의 인사를 건네는 신작시 176편은 2020년 2월부터 2022년 2월까지 하루에 한 편, 또는 일주일에 한 편씩 눈앞에서 독자들을 만나는 마음으로 꾹꾹 눌러쓴 시들이다. 난데없이 닥쳐온 코로나19로 인해 “너나없이 고달픈” 시간을 보내는 때, “하루하루 피차의 안식과 평화, 자그만 행복을” 빌며 미처 전하지 못한 마음들을 담아 매일 써 내려간 시들이다. “소망의 끈을 놓지 않”고 내일을 기다릴 수 있기를, 분명하게 빛나는 희망들이 이 시집에 고스란히 담겨 있다.  “참 멀리까지” 온 인생, “사막 같은 인생길 앞에서 막막하던 날들”을 지나고 시인은 “어린 날, 다시 젊은 날”의 아픔을 돌아본다. “가난하고, 춥고, 그립고, 안타깝고, 따분하”던 “되돌아가고 싶지 않은 길”. “이제는 적막한 마음”으로, 지금 그 길 위에 서 있는 이들의 오늘을 격려하고자 한다. “지상에서의 힘들지만 아름답고 서러운” 날들 모두 “여전히 반짝이는 날이고 숨 가쁘도록 벅찬 날”이라고, 부디 “내일을 또 믿고 기대”하며 “우리 웃는 얼굴로 만나”자고, 시인은 명랑한 목소리로 이야기한다.  시집은 총 4부로 구성되었다. 1부 ‘그래도 괜찮아’는 오늘에 대한 감사와 내일에 대한 기대를, 2부 ‘너무 애쓰지 마라’는 인생이라는 고달픈 여행길에서 힘이 되어주는 ‘너’라는 존재들을, 3부 ‘지금도 좋아’는 이어령 선생, 동명 스님, 계룡산의 도예가 부부 등 시인이 삶에서 마주쳐온 이들에게 느꼈던 존중과 경의를, 4부 ‘천천히 가자’는 일상의 성찰과 따뜻한 세상을 위한 사랑의 실천을 이야기한다. 세계적인 중국 일러스트레이터 ‘오아물 루(Oamul lu)’가 표지 그림을 그렸다."
"여성, 귀신이 되다","전혜진","현암사","2021","신착도서","여성, 귀신이 되다","","8932321302 9788932321301","2021-05-10","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5680127%3Ftimestamp%3D20231116162812","https://search.daum.net/search?w=bookpage&bookId=5680127&q=%EC%97%AC%EC%84%B1%2C+%EA%B7%80%EC%8B%A0%EC%9D%B4+%EB%90%98%EB%8B%A4","당신은 귀신을 믿는가? 이 질문을 던졌을 때 그렇다고 말할 사람은 많지 않을 것이다. 그러나 귀신의 존재를 믿는다는 사람은 별로 없더라도 귀신 이야기에 혹하는 이들은 많다. 영화관에는 매년 공포영화가 걸리고, 인터넷을 휩쓰는 괴담은 복제되고 변형되며 계속해서 퍼져나간다. 사람들은 언제나 무서운 이야기를 궁금해하고, 귀신이라는 미지의 존재에 호기심을 보인다.  『여성, 귀신이 되다』는 여성 귀신들의 말에 본격적으로 귀를 기울이는 책이다. 지금까지 전해져 오는 오래된 여성 귀신 이야기의 이면에 숨은 진실을 밝힌다. 귀신은 억울함에 이승을 떠나지 못하는 존재이다. 그의 죽음 뒤에는 잔혹한 현실과 사회의 모순이 존재한다. 괴담은 우리가 현실에서 지나쳤던 지점들을 들춰내고, 보고 싶지 않은 것들을 보게 한다. 엄격한 유교 질서 아래 자결하고, 쫓겨나고, 살해당한 과거의 여성들은 생전엔 스스로의 원한을 해소할 방법을 찾지 못한다. 대신 죽어 현실의 속박을 벗어던진 뒤에야 억울함을 호소하고, 복수하고, 신이 된다. 옛이야기 속 여성 귀신의 삶은 곧 현실 여성의 삶이었다. 이 책은 죽은 뒤에야 끈질기게 살아남아 현대인들에게 자신의 이야기를 전할 수 있었던 여성들의 삶을 다시 조명한다."
"나비가면","박지웅","문학동네","2021","신착도서","나비가면","","8954681638 9788954681636","2021-08-16","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5817831%3Ftimestamp%3D20231101174233","https://search.daum.net/search?w=bookpage&bookId=5817831&q=%EB%82%98%EB%B9%84%EA%B0%80%EB%A9%B4","문학동네시인선 157번째 시집으로 박지웅 시인의 『나비가면』이 출간되었다. 말을 통해 존재론적 비의를 행하는 시인, 형이상학적 관념을 자연물을 통해 구체화하고자 하는 시인. 말에 대한 집요하고 처절한 자의식으로, 실존의 투쟁 방식으로서의 쓰기를 멈추지 않는 시인. 『나비가면』은 지리산문학상, 천상병시문학상, 시와시학 젊은시인상을 수상한 박지웅의 네번째 시집이다. “새는 긴 가지를 물어 구름과 집 사이에 걸었다”(『구름과 집 사이를 걸었다』)와 같은 문장이 환기하는 것처럼, 알레고리를 통해 단절된 듯 보이는 사물들 사이에 놓인 연결 지점들을 발견해온 그는 이번 시집에 이르러서는 존재와 존재의 거리를 재조정하며 그 사이에 존재하는 허공에 그리움의 자리를 마련한다. 1부 ‘가끔 다 타지 않은 편지가 나왔다’, 2부 ‘별로부터 나는 얼마나 오랜 뒤의 일인지’, 3부 ‘검은 하느님이 달아나고 있다’, 4부 ‘누군가 물속에서 등잔불을 흔들듯’으로 이어지는 79편의 시들은 결국 그 거리, 자신과 세계와의 간극을 인지하고 그 앎을 그리움이라는 감정으로 환원하는 과정에 다름 아닐 것이다."
"살 것만 같던 마음","이영광","창비","2024","신착도서","살 것만 같던 마음","","8936425021 9788936425029","2024-05-30","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6638400%3Ftimestamp%3D20250214153154","https://search.daum.net/search?w=bookpage&bookId=6638400&q=%EC%82%B4+%EA%B2%83%EB%A7%8C+%EA%B0%99%EB%8D%98+%EB%A7%88%EC%9D%8C","선명하고 아름다운 언어로 존재의 고통과 현실의 아픔을 노래해온 이영광 시인의 여덟번째 시집 『살 것만 같던 마음』이 창비시선 502번으로 출간되었다. 4년 만에 선보이는 이번 시집에서 시인은 일상의 복잡미묘한 감정과 들끓는 마음들을 살피며 삶과 죽음의 관계, 존재의 본질과 의미에 대한 진지하고도 심오한 사유의 세계를 펼쳐 보인다. 불합리한 세상의 이면을 깊이 들여다보고 타인의 고통을 체험하며 삶의 진실에 가닿으려는 고뇌가 담긴 진솔한 시편들은 서늘하고도 묵직한 공감을 자아낸다. 한층 더 깊고 섬세해진 시세계는 침잠의 시간 속에서 차분히 현실을 살필 수 있는 시간을 선물한다."
"이것은 농담에 가깝습니다","이명윤","걷는사람","2024","신착도서","이것은 농담에 가깝습니다","","1193412358 9791193412350","2024-03-27","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6596520%3Ftimestamp%3D20241116155350","https://search.daum.net/search?w=bookpage&bookId=6596520&q=%EC%9D%B4%EA%B2%83%EC%9D%80+%EB%86%8D%EB%8B%B4%EC%97%90+%EA%B0%80%EA%B9%9D%EC%8A%B5%EB%8B%88%EB%8B%A4","걷는사람 시인선 113 이명윤 시집 『이것은 농담에 가깝습니다』 출간  “그러니까 질문은 받지 않겠습니다 죽음이 슬픔을 우아하게 맞이하도록”  절망과 슬픔과 죽음을 넘어서는 생성의 힘 조용하고 따뜻하고 웅숭깊은 긍정의 세계"
