자료명,저자,출판사,출판년도,소장처
두 도시 이야기,찰스 디킨스 지음; 김소영 옮김,허밍버드,2020,신착도서
한 사람을 위한 마음,이주란 지음,문학동네,2019,신착도서
괴물이 된 성범죄자들,안병헌 지음,슬로디미디어,2023,신착도서
당신의 작업복 이야기,경향신문 작업복 기획팀 지음,오월의봄,2024,신착도서
지도로 보아야 보인다,에밀리 오브리; 프랭크 테타르 지음; 이수진 옮김,사이,2024,신착도서
"수학 교과서, 영화에 딴지 걸다",이재진 지음,푸른숲주니어,2007,신착도서
괴물들,클레어 데더러 지음; 노지양 옮김,을유문화사,2024,신착도서
이중 하나는 거짓말,김애란 지음,문학동네,2024,신착도서
언러키 스타트업,정지음 지음,민음사,2022,신착도서
구의 증명,최진영 지음,은행나무,2023,신착도서
단 한 사람,최진영 지음,한겨레출판,2023,신착도서
대온실 수리 보고서,김금희 지음,창비,2024,신착도서
석가모니 인생수업,석가모니 지음; 김지민 엮음,Highest,2024,신착도서
당신이 누군가를 죽였다,히가시노 게이고 지음; 최고은 옮김,북다,2024,신착도서
오후도 서점 이야기,무라야마 사키 지음; 류순미 옮김,클,2018,신착도서
(Do it!) 알고리즘 코딩 테스트. 파이썬 편,김종관 지음,이지스퍼블리싱,2022,신착도서
인공지능 구조 원리 교과서,송경빈 지음,보누스,2024,신착도서
(청소년이 함께 살아야 할) 로봇과 AI,전승민 지음,매경주니어,2024,신착도서
2024 김승옥문학상 수상작품집. 2024,조경란 외 지음,문학동네,2024,신착도서
영원한 천국,정유정 지음,은행나무,2024,신착도서
고백루프,박서련 지음,창비,2024,신착도서
(비문학과 통합과학을 준비하는) 요즘 청소년을 위한 화학의 쓸모,정병진 지음,청어람미디어,2024,신착도서
두 얼굴의 원소라고?,강상욱 지음; 이크종 그림,나무를심는사람들,2024,신착도서
죽이고 싶은 아이. 2,이꽃님 지음,우리학교,2024,신착도서
문명. 2,베르나르 베르베르 지음; 전미연 옮김,열린책들,2021,신착도서
문명. 1,베르나르 베르베르 지음; 전미연 옮김,열린책들,2021,신착도서
여고생 핍의 사건 파일,홀리 잭슨 지음; 장여정 옮김,북레시피,2023,신착도서
아이가 없는 집,알렉스 안도릴 지음; 유혜인 옮김,필름,2024,신착도서
알레한드라 김의 가면증후군과 솔직한 고백,패트리샤 박 지음; 신혜연 옮김,서사원,2024,신착도서
활자잔혹극,루스 렌들 지음; 이동윤 옮김,북스피어,2024,신착도서
(명화들이 말해주는) 그림 속 드레스 이야기,이정아 지음,J&jj (제이앤제이제이),2018,신착도서
"(난생 처음 한번 공부하는) 미술이야기. 8: 바로크 문명과 미술: 시선의 대축제, 막이 오르다",양정무 지음,사회평론,2024,신착도서
홀리,스티븐 킹 지음; 이은선 옮김,황금가지,2024,신착도서
조선 미술관,탁현규 지음,블랙피쉬,2023,신착도서
은하수를 여행하는 히치하이커를 위한 안내서,"더글러스 애덤스 지음; 김선형, 권진아 옮김",책세상,2005,신착도서
예술 도둑,마이클 핀클 지음; 염지선 옮김,생각의힘,2024,신착도서
출근하는 책들,구채은 지음,Pazit(파지트),2023,신착도서
혼자가 좋지만 고독사는 걱정입니다,몬가 미오코 지음; 구수진 옮김,반니,2023,신착도서
고대로부터의 통신,한국역사연구회 고대사 분과 지음,푸른역사,2004,신착도서
고대로부터의 통신,한국역사연구회 고대사 분과 지음,푸른역사,2004,신착도서
식민지 청년 이봉창의 고백,배경식 지음,Humanist,2015,신착도서
식민지 청년 이봉창의 고백,배경식 지음,Humanist,2015,신착도서
박병선,공지희 지음; 김지안 그림,글로연,2012,신착도서
박병선,공지희 지음; 김지안 그림,글로연,2012,신착도서
마주보는 한일사. 3: 한일 근현대사,한국·전국역사교사모임,사계절출판사,2014,신착도서
마주보는 한일사. 3: 한일 근현대사,한국·전국역사교사모임,사계절출판사,2014,신착도서
역사 앞에서,김성칠 지음; 정병준 해제,창비,2009,신착도서
역사 앞에서,김성칠 지음; 정병준 해제,창비,2009,신착도서
미술관에 간 법학자,김현진 지음,어바웃어북,2024,신착도서
미술관에 간 법학자,김현진 지음,어바웃어북,2024,신착도서
작은 땅의 야수들,김주혜 지음; 박소현 옮김,다산책방,2024,신착도서
작은 땅의 야수들,김주혜 지음; 박소현 옮김,다산책방,2024,신착도서
정조어찰첩,성균관대학교동아시아학술원[편],성균관대학교출판부,2009,자료실
정조어찰첩,성균관대학교동아시아학술원[편],성균관대학교출판부,2009,자료실
검은 사슴,한강 지음,문학동네,2017,2층 자료실
검은 사슴,한강 지음,문학동네,2017,2층 자료실
검은 사슴,한강 지음,문학동네,2017,2층 자료실
검은 사슴,한강 지음,문학동네,2017,2층 자료실
검은 사슴,한강 지음,문학동네,2017,2층 자료실
검은 사슴,한강 지음,문학동네,2017,2층 자료실
검은 사슴,한강 지음,문학동네,2017,2층 자료실
검은 사슴,한강 지음,문학동네,2017,2층 자료실
검은 사슴,한강 지음,문학동네,2017,자료실
검은 사슴,한강 지음,문학동네,2017,자료실
노랑무늬영원,한강 지음,문학과지성사,2018,2층 자료실
노랑무늬영원,한강 지음,문학과지성사,2018,2층 자료실
노랑무늬영원,한강 지음,문학과지성사,2018,2층 자료실
노랑무늬영원,한강 지음,문학과지성사,2018,2층 자료실
노랑무늬영원,한강 지음,문학과지성사,2018,2층 자료실
노랑무늬영원,한강 지음,문학과지성사,2018,2층 자료실
노랑무늬영원,한강 지음,문학과지성사,2018,2층 자료실
노랑무늬영원,한강 지음,문학과지성사,2018,자료실
작별하지 않는다,한강 지음,문학동네,2021,2층 자료실
작별하지 않는다,한강 지음,문학동네,2021,2층 자료실
작별하지 않는다,한강 지음,문학동네,2021,2층 자료실
작별하지 않는다,한강 지음,문학동네,2021,2층 자료실
작별하지 않는다,한강 지음,문학동네,2021,2층 자료실
작별하지 않는다,한강 지음,문학동네,2021,2층 자료실
작별하지 않는다,한강 지음,문학동네,2021,2층 자료실
작별하지 않는다,한강 지음,문학동네,2021,2층 자료실
작별하지 않는다,한강 지음,문학동네,2021,자료실
흰,한강 지음,문학동네,2018,2층 자료실
흰,한강 지음,문학동네,2018,2층 자료실
흰,한강 지음,문학동네,2018,2층 자료실
흰,한강 지음,문학동네,2018,2층 자료실
흰,한강 지음,문학동네,2018,2층 자료실
흰,한강 지음,문학동네,2018,2층 자료실
흰,한강 지음,문학동네,2018,2층 자료실
흰,한강 지음,문학동네,2018,2층 자료실
흰,한강 지음,문학동네,2018,자료실
서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,2층 자료실
서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,2층 자료실
서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,2층 자료실
서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,2층 자료실
서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,2층 자료실
서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,2층 자료실
서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,2층 자료실
서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,2층 자료실
서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,자료실
소년이 온다,한강,창비,2014,2층 자료실
소년이 온다,한강,창비,2014,2층 자료실
소년이 온다,한강,창비,2014,2층 자료실
소년이 온다,한강,창비,2014,2층 자료실
소년이 온다,한강,창비,2014,2층 자료실
소년이 온다,한강,창비,2014,2층 자료실
소년이 온다,한강,창비,2014,2층 자료실
소년이 온다,한강,창비,2014,2층 자료실
소년이 온다,한강,창비,2014,자료실
희랍어 시간,한강,문학동네,2011,2층 자료실
희랍어 시간,한강,문학동네,2011,2층 자료실
희랍어 시간,한강,문학동네,2011,2층 자료실
희랍어 시간,한강,문학동네,2011,2층 자료실
희랍어 시간,한강,문학동네,2011,2층 자료실
희랍어 시간,한강,문학동네,2011,2층 자료실
희랍어 시간,한강,문학동네,2011,2층 자료실
희랍어 시간,한강,문학동네,2011,2층 자료실
희랍어 시간,한강,문학동네,2011,2층 자료실
오직 하나의 사랑,김성철 지음,온북스,2021,자료실
샤워젤과 소다수,고선경 지음,문학동네,2023,자료실
"우주의 역사, 최대한 쉽게 설명해 드립니다",박재용 지음,이화북스,2021,자료실
우주탐사의 물리학,윤복원 지음,동아시아,2023,자료실
우리는 미래에 살고 있다,서울대학교 공과대학 지음,창비,2020,자료실
빌런 간호사,박세인 지음,포널스,2024,자료실
유기화학실험,윤효재; 윤용진 지음,자유아카데미,2023,자료실
무기화학실험,노동윤 외 지음,자유아카데미,2014,자료실
일반화학실험,화학교재편찬회 편저,사이플러스,2024,자료실
수학의 힘,올리버 존슨 지음; 노태복 옮김,더퀘스트,2024,자료실
누군가를 이토록 사랑한 적,이병률 지음,문학과지성사,2024,자료실
지구인만큼 지구를 사랑할 순 없어,정세랑 지음,위즈덤하우스,2021,자료실
풀밭이라는 말에서 달 내음이 난다,김성철 지음,백조,2023,자료실
간호사 부서 탐방,강민애 지음,드림널스,2023,자료실
(한 번 읽으면 절대 잊을 수 없는) 지리 교과서,야마사키 케이치 지음; 김아람 옮김,시그마북스,2023,자료실
초상화로 읽는 세계사,김인철 지음,양문,2023,자료실
시 (詩),윤중호 지음; 임우기 엮음,솔,2022,자료실
사랑이 죽었는지 가서 보고 오렴,박연준 지음,문학동네,2024,신착도서
나노 화학,장홍제 지음,휴머니스트,2023,자료실
『향약구급방』에 나오는 고려시대 식물들,신현철 지음,소명출판,2024,자료실
아주 이상한 수학책,벤 올린 지음; 강세중 옮김,북라이프,2024,자료실
운동의 뇌과학,제니퍼 헤이스 지음; 이영래 옮김,현대지성,2023,자료실
복잡한 세상을 이기는 수학의 힘,류쉐펑 지음; 이서연 옮김,미디어숲,2023,자료실
더 이상한 수학책,벤 올린 지음; 이경민 옮김,북라이프,2021,자료실
도시를 만드는 기술 이야기,그레이디 힐하우스 지음; 윤신영 옮김,한빛미디어,2024,자료실
과학 잔혹사,샘 킨 지음; 이충호 옮김,해나무,2024,자료실
모스에서 잡스까지,신동흔 지음,뜨인돌,2018,자료실
(우리의 미래를 결정할) 과학 4.0,박재용 지음,북루덴스,2023,자료실
"왜요, 그 말이 어때서요?",김청연 지음,동녘,2019,자료실
처음 읽는 양자컴퓨터 이야기,다케다 슌타로 지음; 전종훈 옮김,플루토,2021,신착도서
오늘부터 IT를 시작합니다,고코더 지음,한빛미디어,2022,신착도서
청소년 마약에 관한 모든 질문,김희준; 공주영 지음,주니어태학,2024,자료실
십 대를 위한 SW 인문학,두일철; 오세종 지음,영진닷컴,2023,자료실
푸른 숨,오미경 지음,특별한서재,2023,자료실
내게 남은 사랑을 드릴게요,이유리 외 지음,자이언트북스,2023,자료실
파견자들,김초엽 지음,퍼블리온,2023,자료실
종의 기원담,김보영 지음,아작,2023,자료실
파쇄,구병모 지음,위즈덤하우스,2023,자료실
일러두기. 47,조경란 외 지음,문학사상,2024,자료실
(2024 제15회) 젊은작가상 수상작품집. 15,김멜라 외 지음,문학동네,2024,자료실
우리는 왜 타인의 욕망을 욕망하는가,이현정 지음,21세기북스,2022,자료실
교사를 위한 마음공부,류성창 지음,지노,2023,자료실
내 삶의 이야기를 쓰는 법,낸시 슬로님 애러니 지음; 방진이 옮김,돌베개,2023,자료실
검은 시위,정은희 지음,무산여성,2023,자료실
우리가 살에 관해 말하지 않는 것들,오브리 고든 지음; 장한라 옮김,동녘,2023,자료실
우리가 살에 관해 말하지 않는 것들,오브리 고든 지음; 장한라 옮김,동녘,2023,자료실
(KAIST 김진형 교수에게 듣는) AI 최강의 수업,김진형 지음,매일경제신문사,2020,자료실
나는 초콜릿의 달콤함을 모릅니다,타라 설리번 지음; 이보미 옮김,푸른숲주니어,2017,자료실
나는 초콜릿의 달콤함을 모릅니다,타라 설리번 지음; 이보미 옮김,푸른숲주니어,2017,자료실
"왜요, 그게 차별인가요?",박다해 지음,동녘,2023,자료실
어떤 호소의 말들,최은숙 지음,창비,2022,자료실
옷을 사지 않기로 했습니다,이소연 지음,돌고래,2023,자료실
가난한 아이들은 어떻게 어른이 되는가,강지나 지음,돌베개,2023,신착도서
가난한 아이들은 어떻게 어른이 되는가,강지나 지음,돌베개,2023,자료실
마음 지구력,윤홍균 지음,21세기북스,2024,자료실
좋은 문장 표현에서 문장부호까지!,이수연 지음,마리북스,2024,자료실
모든 용서는 아름다운가,시몬 비젠탈 지음; 박중서 옮김,뜨인돌,2019,자료실
음식의 미래,라리사 짐버로프 지음; 제효영 옮김,갈라파고스,2023,자료실
요약이 힘이다,사이토 다카시 지음; 김지낭 옮김,포레스트북스,2023,자료실
여성 게이머는 총을 쏠 수 있는가,윤태진; 김지윤 지음,몽스북,2023,자료실
게으른 완벽주의자를 위한 심리학,헤이든 핀치 지음; 이은정 옮김,시크릿하우스,2022,자료실
(게으른 완벽주의자를 위한) 시작의 습관,헤이든 핀치 지음; 이은정 옮김,시크릿하우스,2023,자료실
성격의 탄생,대니얼 네틀 지음; 김상우 옮김,와이즈북,2020,자료실
동조자,비엣 타인 응우옌 지음; 김희용 옮김,민음사,2023,자료실
낭비 없는 밤들,실비아 플라스 지음; 박선아 옮김,마음산책,2024,자료실
(99포인트로 마스터하는) 해커스 중국어 문법,해커스 중국어연구소 지음,해커스,2023,자료실
당신들은 이렇게 시간 전쟁에서 패배한다,아말 에모흐타르; 맥스글래드스턴 지음; 장성주 옮김,황금가지,2021,자료실
프라이드 그린 토마토,패니 플래그 지음; 김후자 옭김,민음사,2024,자료실
몸은 사회를 기록한다,시민건강연구소 지음,낮은산,2018,자료실
소년을 위한 재판,심재광 지음,공명,2019,자료실
딥페이크의 얼굴,이소은; 최순욱 지음,스리체어스,2023,자료실
(일본어로 읽는) 재미있는 세계명작,제이플러스 편저; 이정화 그림,제이플러스,2023,자료실
(현지에서 바로 통하는) 여행 중국어 회화,제이플러스 [편],제이플러스,2024,자료실
간호약리학,Ruth Woodrow; Bruce J. Colbert; David M. Smith 지음; 손의동 외 옮김,Fornurse(포널스출판사),2019,자료실
남에게 보여주려고 인생을 낭비하지 마라,아르투어 쇼펜하우어 지음; 박제헌 옮김,page2,2023,자료실
패브릭,버지니아 포스트렐 지음; 이유림 옮김,민음사,2024,자료실
약국 안의 세계사,키스 베로니즈 지음; 김숲 옮김,동녘,2023,자료실
감정은 어떻게 만들어지는가?,리사 펠드먼 배럿 지음; 최호영 옮김,생각연구소,2017,자료실
일 년 내내 여자의 문장만 읽기로 했다,김이경 지음,서해문집,2023,자료실
"카이스트, 바이오헬스의 미래를 말하다",채수찬 엮음,율곡출판사,2020,자료실
과거가 남긴 우울 미래가 보낸 불안,김아라 지음,유노북스,2022,자료실
