자료명,저자,출판사,출판년도,소장처
조선인민군 우편함 4640호,이흥환 엮음,삼인,2012,자료실
‘무엇’이 되기 위해 살지 마라,백지연,알마,2012,자료실
불의 강,오정희,문학과지성사,1997,자료실
탄환의 심판,마이클 코넬리;김승욱,알에이치코리아,2012,자료실
식량의 세계사,톰 스탠디지 지음;박중서 옮김,웅진지식하우스(웅진닷컴),2012,자료실
김수영을 위하여,강신주 지음,천년의상상,2012,자료실
콰이어트,수전 케인;김우열,알에이치코리아,2012,자료실
어느 날 나는 흐린 주점에 앉아 있을 거다,황지우 지음,문학과지성사,2003,자료실
우리가 사랑에 빠졌을 때,정호승;안도현,공감의기쁨,2012,자료실
어댑트,팀 하포드 지음;강유리 옮김,웅진씽크빅,2011,자료실
괴짜생태학,브라이언 클레그 지음;김승욱 옮김,웅진지식하우스(웅진씽크빅),2010,자료실
의대를 꿈꾸는 대한민국의 천재들,이종훈 지음,한언,2006,자료실
유랑극단,지크프리트 렌츠 지음;박종대 옮김,사계절,2012,자료실
하리하라의 과학24시,이은희 [글];김명호 [그림],비룡소,2012,자료실
국어 선생님의 시 배달,강병철;박성한 외 엮음,창비,2010,자료실
(내 가슴을 다시 뛰게 할)잊혀진 질문,차동엽 지음,명진,2012,자료실
낙타,신경림,창비,2008,자료실
나의 상처는 돌 너의 상처는 꽃,류시화,고즈윈,2012,자료실
시간을 파는 상점,김선영,자음과모음,2012,자료실
서쪽 숲에  갔다,편혜영 지음,문학과 지성사,2012,자료실
"1945, 철원",이현,창비,2012,자료실
사랑의 기초,알랭 드 보통 지음;우달임 옮김,톨,2012,자료실
사랑의 기초,정이현 지음,톨,2012,자료실
고양이 눈. 2,마거릿 애트우드 지음;차은정 옮김,민음사,2010,자료실
고양이 눈. 1,마거릿 애트우드 지음;차은정 옮김,민음사,2010,자료실
숨통,치마만다 응고지 아디치에 지음;황가한 옮김,민음사,2011,자료실
아름다운 나날,플뢰르 이애기 지음;김은정 옮김,민음사,2010,자료실
심플 스토리,잉고 슐체 지음;노선정옮김,민음사,2009,자료실
황혼의 들판. 4,필립 리브 지음;김희정 옮김,부키,2011,자료실
악마의 무기. 3,필립 리브 지음;김희정 옮김,부키,2010,자료실
사냥꾼의 현상금. 2,필립 리브 지음;김희정 옮김,부키,2010,자료실
모털엔진. 1,필립 리브 지음;김희정 옮김,부키,2010,자료실
"셰익스피어, 정의를 말하다",켄지 요시노;김수림,지식의날개(한국방송통신대학교출판부),2012,자료실
인생수정,조너선 프랜즌;김시현,은행나무,2012,자료실
당신의 과거를 지워 드립니다,비프케 로렌츠;서유리,레드박스,2012,자료실
중국인 이야기. 1,김명호 지음,한길사,2012,자료실
베아트리스와 버질,얀 마텔 지음;강주헌 옮김,작가정신,2011,자료실
생명과학 교과서는 살아있다,유영제;박태현,동아시아,2011,자료실
꿈보다 먼저 뛰고 도전 앞에 당당하라,한유정 지음,위즈덤하우스,2010,자료실
가끔은 제정신,허태균 지음,쌤앤파커스,2012,자료실
솔로몬 왕의 고뇌,에밀 아자르;김남주,마음산책,2012,자료실
니체는 나체다,유영만,생각속의 집,2012,자료실
왜 나는 항상 결심만 할까?,켈리 맥고니걸 지음;신예경 옮김,알키,2012,자료실
섬광 예지력,대니얼 버러스;존 데이비드 만,동아일보사,2011,자료실
불국토를 꿈꾼  그들,정민 지음,문학의문학,2012,자료실
"채소의 기분, 바다표범의 키스",무라카미하루키 지음;오하시 아유미 그림;권남희 옮김,비채,2012,자료실
은닉,배명훈,북하우스,2012,자료실
와온 바다,곽재구,창비,2012,자료실
원자력의 거짓말,고이데히로아키 글;고노 다이스케 옮김,녹색평론사,2012,자료실
태연한 인생,은희경,창비,2012,자료실
900번의 감사,아야노마사루 지음;박현석 옮김,하늘을나는교실,2010,자료실
뱀의 뇌에게 말을 걸지 마라,마크 고울스톤 지음;황혜숙 옮김,타임비즈(타임교육),2010,자료실
통섭의 식탁,최재천;박근용,명진출판,2011,자료실
성난 물소 놓아주기,아잔 브라흐마 지음;김훈 옮김,공감의 기쁨,2012,자료실
시는 노래처럼,소래섭 지음,프로네시스,2012,자료실
(제5의 기적)생명의 기원,폴 데이비스;고문주 옮김,북스힐,2000,자료실
가위 바위 보,렌 피셔;박인균,추수밭,2009,자료실
누구나 화학,위르겐 블레커 지음;정인회;전창림 옮김,Gbrain,2012,자료실
바람이 분다 당신이 좋다,이병률,달출판사,2012,자료실
독일 미술관을 걷다,이현애 지음,마로니에북스,2012,자료실
몸에 갇힌 사람들,수지 오바크;김명남,창비,2011,자료실
시 한 줄에서 통찰은 어떻게 시작되는가,황인원,위즈덤하우스,2012,자료실
스승의 옥편,정민 지음,마음산책,2007,자료실
마음의 작동법,에드워드 L. 데시;리처드 플래스트 공저;이상원 옮김,에코의서재,2011,자료실
날씨는 우리 생활에 어떤 영향을 미쳤는가,류상범 지음,황금비율,2010,자료실
폐허,스콧 스미스;남문희,비채코리아북스,2008,자료실
양파의 습관,김희진,자음과모음,2012,자료실
비행운,김애란 지음,문학과지성사,2012,자료실
(이광형 교수의)3차원 창의력 개발법,이광형 지음,비즈니스맵(한국물가정보),2012,자료실
왜 동양철학인가,한형조 지음,문학동네,2009,자료실
(지금 이 순간 있는 그대로)받아들임,타라 브랙;김선주,불광출판사,2012,자료실
사랑받지 못한 여자,넬레 노이하우스 지음;김진아 옮김,북로드,2012,자료실
식탁 위의 세계사,이영숙 지음,창비,2012,자료실
바보처럼 공부하고 천재처럼 꿈꿔라 시즌 2. 2,김의식,명진출판,2012,자료실
레가토,권여선,창비,2012,자료실
아메리카와 아메리카인,존 스타인벡 지음;안정효 해제.옮김,김영사,2011,자료실
내가 알고 있는 걸 당신도 알게 된다면,칼 필레머 지음;박여진 옮김,토네이도,2012,자료실
미국에서 태어난게 잘못이야,토머스 게이건;한상연,부키,2011,자료실
욕망해도 괜찮아,김두식,창비,2012,자료실
영국 남자의 문제,하워드 제이콥슨 지음;윤정숙 옮김,은행나무,2012,자료실
(동에 번쩍 서에 번쩍)우리나라 지리 이야기,조지욱 지음,사계절출판사,2008,자료실
소방관이 된 철학교수,프랭크 맥클러스키 지음;이종철 옮김,북섬,2007,자료실
캉디드 혹은 낙관주의,볼테르 지음;이봉지 옮김,열린책들,2009,자료실
바람의 그림자. 2,카를로스 루이스 사폰지음;정동섭옮김,문학동네,2012,자료실
바람의 그림자. 1,카를로스 루이스 사폰 지음; 정동섭 옮김,문학동네,2012,자료실
브이 포 벤데타,Alan Moore;David Lloyd,Vertigo시공사,2008,자료실
(365 매일읽는)긍정의 한줄,린다 피콘;유미성,책이있는풍경,2008,자료실
외로워지는 사람들,셰리 터클 지음;이은주 옮김,청림출판,2012,자료실
이슬람의 눈으로 본 세계사,타밈 안사리;류한원,뿌리와이파리,2011,자료실
동물원에서 프렌치 키스하기,최종욱 지음,반비,2012,자료실
먹고 마시고 숨 쉬는 것들의 반란,샌드라 스타인그래버;이지윤,Archive(휴머니스트),2012,자료실
한밤중에 잠깨어,정민;차벽,문학동네,2012,자료실
멀티 유니버스,브라이언 그린 지음;박병철 옮김,김영사,2012,자료실
삶을 바꾸는 책 읽기,정혜윤 지음,민음사,2012,자료실
지금의 고난은 내게 어떤 의미인가,바바라 디 앤젤리스;안기순 옮김,고즈윈,2012,자료실
청춘내공,김용섭 지음,한스미디어,2012,자료실
고독을 잃어버린 시간,"지그문트 바우만 지음; 조은평, 강지은 공옮김",동녘,2012,자료실
깨달음,법륜 지음,정토출판,2012,자료실
당신은 구글에서 일할 만큼 똑똑한가?,윌리엄 파운드스톤 지음;유지연,타임비즈(타임교육),2012,자료실
구글 이후의 세계,제프리 스티벨 지음 ; 이영기 옮김,웅진지식하우스,2011,자료실
(안인희의)북유럽 신화. 3: 욕망하는 영웅들의 이야기,안인희,웅진직하우스,2011,자료실
"(안인희의)북유럽신화. 2: 종말의 예언, 그리고 라그나뢰크",안인희,웅진지식하우스(웅진씽크빅),2007,자료실
(안인희의)북유럽신화. 1: 신들의 보물과 반지의 저주,안인희,웅진지식하우스(웅진씽크빅),2007,자료실
어른 공부,양순자;박용인,시루(가디언),2012,자료실
어떻게 살인자를 변호할 수 있을까?. 2,페르디난트 폰 쉬라크 지음;방현일 옮김,갤리온(웅진씽크빅),2011,자료실
어떻게 살인자를 변호할 수 있을까?,페르디난트 폰 쉬라크 지음;방현일 옮김,갤리온(웅진씽크빅),2010,자료실
철학 콘서트. 3,황광우 지음,웅진지식하우스,2012,자료실
살면서 포기해야 할 것은 없다,김수림 지음;장은주 옮김,웅진지식하우스,2012,자료실
(아침편지 고도원의)꿈이 그대를 춤추게 하라,고도원;임은환,해냄출판사,2012,자료실
최종 이론은 없다,마르셀로 글레이서 지음;조현욱 옮김,까치글방,2010,자료실
히말라야 도서관,존 우드;이명혜,세종서적,2008,자료실
근대를 말하다,이덕일,역사의아침,2012,자료실
템페스트,윌리엄 셰익스피어 지음;이경식 옮김,문학동네,2010,자료실
유저,애런 샤피로;박세연,민음사(탑 브레인),2012,자료실
신의 화살,치누아 아체베 지음; 이소영 옮김,민음사,2012,민음사 전집
자연의 농담,마크 S. 블럼버그;김아림,알마,2012,자료실
신이 없는 세상,피트 호트먼 지음;곽명단 옮김,돌베개,2011,자료실
"담대하라, 나는 자유다",아리아나 허핑턴;이현주,해냄출판사,2012,자료실
폭력은 침묵 속에 전염된다,프랜 펀리;김영선,한길사,2012,자료실
복낙원,존 밀턴 지음; 조신권 옮김,문학동네,2010,자료실
삶이 내게 말을 걸어올 때,파커 J. 파머 지음;홍윤주 옮김,한문화,2012,자료실
10대 너의 배움에 주인이 되어라,양희규,글담,2012,자료실
(건축가가 말하는)건축가,이상림;나승문,부키,2011,자료실
(광고인이 말하는)광고인,국정애;노의선,부키,2008,자료실
꿀벌의 민주주의,토머스 D. 실리 지음;하임수 옮김,에코리브르,2012,자료실
지지 않는다는 말,김연수;이강훈,마음의숲,2012,자료실
성공명언 1001,토머스 J. 빌로드;안진환,쌤앤파커스(SAMTU),2007,자료실
신화적 상상력과 문화,정재서 [외 지음],이화여자대학교출판부,2008,자료실
가난한 집 맏아들,유진수,한국경제신문(한경비피(프런티어)),2012,자료실
거대한 뿌리,김수영 지음,민음사,2002,자료실
어쩌다 사회학자가 되어,피터 L. 버거;노상미,책세상,2012,자료실
센스 오브 원더,레이첼 카슨;닉 켈시,에코리브르,2012,자료실
황제처럼,"송인혁, 은유 공지음",미래의 창,2012,자료실
바그다드의 오디세우스,에릭 엠마뉴엘 슈미트;권윤진,밝은 세상,2009,자료실
보이지 않는 고릴라,크리스토퍼 차브리스;대니얼 사이먼스,김영사,2011,자료실
누가 그들을 죽였는가,한규라,책이있는마을,2008,자료실
대중의 직관,존 L. 캐스티 지음;이현주 옮김,반비,2012,자료실
훔치고 배우고 익혀라,이종탁 지음,휴먼큐브,2012,자료실
3차 산업혁명,제러미 리프킨;안진환,민음사,2012,자료실
"굶주리는 세계, 어떻게 구할 것인가?",장 지글러 지음; 양영란,갈라파고스,2012,자료실
시간을 빼앗긴 사람들,틸 뢰네베르크;유영미,추수밭,2011,자료실
잘 가요 엄마,김주영,문학동네,2012,자료실
아르센 뤼팽의 마지막 사랑,모리스 르블랑 지음;성귀수 올밈,문학동네,2012,자료실
"(한번은 꼭 읽어야 할)과학의 역사. 2: 화학,지구과학,생물학",존 그리빈 엮음;리처드 도킨스 서문,에코리브르,2005,자료실
(한번은 꼭 읽어야 할)과학의 역사. 1: 수학.물리학.천문학,존 그리빈 엮음;리처드 도킨스[서문],에코리브르,2005,자료실
엘랑 비탈,윤철호 지음;이수길 사진,북스넛,2010,자료실
텔링 라이즈,폴 에크먼;이민주,한국경제신문,2012,자료실
그림과 눈물,제임스 엘킨스;정지인,아트북스,2007,자료실
우리는 무엇이 될 수 있는가,게랄트 휘터;이상희,추수밭,2012,자료실
케스 - 매와 소년,배리 하인즈;김태언,녹색평론사,2011,자료실
경제상식사전,김민구 지음,길벗,2008,자료실
상상계의 인류학적 구조들,질베르 뒤랑;진형준,문학동네,2007,자료실
기후가 사람을 공격한다,폴 엡스타인;댄 퍼버,푸른숲,2012,자료실
원클릭,리처드 L. 브랜트 지음,자음과모음,2012,자료실
예루살렘 전기,사이먼 시백 몬티피오리 지음; 유달승 옮김,시공사,2012,자료실
"명령하는 뇌, 착각하는 뇌",V.S. 라마찬드란;박방주,알키(시공사),2012,자료실
앵글 속 지리학. 하,손일,푸른길,2011,자료실
앵글 속 지리학. 상,손일,푸른길,2011,자료실
기후변화,전의찬;권원태,지오북,2012,자료실
"현실, 그 가슴뛰는 마법",리처드 도킨스 지음;데이브 매킨 그림;김명남 옮김,김영사,2012,자료실
(젊은이를 위한)인간관계의 심리학,권석만 저,학지사,2004,자료실
전통속에 살아숨쉬는 첨단과학 이야기,윤용현 지음,교학사,2012,자료실
문화로 먹고살기,우석훈;김태권,반비(사이언스 북스),2011,자료실
(김승덕의)수능올킬비법,김승덕,21세기북스,2012,자료실
(김승덕의)수능올킬비법,김승덕,21세기북스,2012,2층 자료실
(김승덕의)수능올킬비법,김승덕,21세기북스,2012,2층 자료실
독일에 관한 모든 것,독일외무부,sodietats,2010,2층 자료실
독일에 관한 모든 것,독일외무부,sodietats,2010,2층 자료실
독일에 관한 모든 것,독일외무부,sodietats,2010,2층 자료실
독일에 관한 모든 것,독일외무부,sodietats,2010,2층 자료실
독일에 관한 모든 것,독일외무부,sodietats,2010,자료실
독일에 관한 모든 것,독일외무부,sodietats,2010,자료실
독일에 관한 모든 것,독일외무부,sodietats,2010,2층 자료실
독일에 관한 모든 것,독일외무부,sodietats,2010,2층 자료실
독일에 관한 모든 것,독일외무부,sodietats,2010,2층 자료실
독일에 관한 모든 것,독일외무부,sodietats,2010,2층 자료실
독일에 관한 모든 것,독일외무부,sodietats,2010,2층 자료실
내 목은 매우 짧으니 조심해서 자르게,박원순 지음,한겨레신문사,1999,자료실
시심전심,정끝별,문학동네,2011,자료실
시는 매일매일,최현식,문학과지성사,2011,자료실
심플 플랜,스콧 스미스;조동섭,비채코리아북스,2009,자료실
그해 겨울은 따뜻했네,박완서 지음,세계사,1998,자료실
츠나구,츠지무라 미즈키 지음;김선영 옮김,문학사상,2011,자료실
환상의 여인,윌리엄 아이리시 지음 ;최운권 옮김,해문출판사,2003,자료실
Y의 비극,엘러리 퀸 [지음] ; 강호걸 [옮김],해문출판사,2003,자료실
날짜변경선,전삼혜,문학동네,2011,자료실
킵,제니퍼 이건;최세희,문학동네,2011,자료실
낯익은 세상,황석영 지음,문학동네,2011,2층 자료실
(할아버지가 꼭 보여주고 싶은)서양명화 101,김필규 지음,마로니에북스,2012,자료실
"생의 마지막 순간, 나는 학생이 되었다",기 코르노 지음; 김성희 옮김,쌤앤파커스,2012,자료실
알레프,호르헤 루이스 보르헤스;송병선,민음사,2012,민음사 전집
알레프,호르헤 루이스 보르헤스;송병선,민음사,2012,민음사 전집
일곱 박공의 집,너새니얼 호손;정소영,민음사,2012,민음사 전집
일곱 박공의 집,너새니얼 호손;정소영,민음사,2012,민음사 전집
신의 화살,치누아 아체베 지음; 이소영 옮김,민음사,2012,민음사 전집
태양은 다시 떠오른다,어니스트 헤밍웨이 지음;김욱동 옮김,민음사,2012,민음사 전집
태양은 다시 떠오른다,어니스트 헤밍웨이 지음;김욱동 옮김,민음사,2012,민음사 전집
에마,제인 오스틴 지음;윤지관;김영희 옮김,민음사,2012,민음사 전집
에마,제인 오스틴 지음;윤지관;김영희 옮김,민음사,2012,민음사 전집
베를린 알렉산더 광장. 2,알프레트 되블린 지음;김재혁 옮김,민음사,2011,민음사 전집
베를린 알렉산더 광장. 2,알프레트 되블린 지음;김재혁 옮김,민음사,2011,민음사 전집
베를린 알렉산더 광장. 1,알프레트 되블린 지음;김재혁 옮김,민음사,2011,민음사 전집
베를린 알렉산더 광장. 1,알프레트 되블린 지음;김재혁 옮김,민음사,2011,민음사 전집
유리알 유희. 2,헤르만 헤세 지음;이영임 옮김,민음사,2011,민음사 전집
유리알 유희. 2,헤르만 헤세 지음;이영임 옮김,민음사,2011,민음사 전집
유리알 유희. 1,헤르만 헤세 지음;이영임 옮김,민음사,2011,민음사 전집
유리알 유희. 1,헤르만 헤세 지음;이영임 옮김,민음사,2011,민음사 전집
푸슈킨 선집,알렉산드르 푸슈킨,민음사,2010,민음사 전집
푸슈킨 선집,알렉산드르 푸슈킨,민음사,2010,민음사 전집
뒤렌마트 희곡선,프리드리히 뒤렌마트 지음;김혜숙 옮김,민음사,2011,민음사 전집
뒤렌마트 희곡선,프리드리히 뒤렌마트 지음;김혜숙 옮김,민음사,2011,민음사 전집
검은 튤립,알렉상드르 뒤마 지음;송진석 옮김,민음사,2011,민음사 전집
검은 튤립,알렉상드르 뒤마 지음;송진석 옮김,민음사,2011,민음사 전집
이방인,알베르 카뮈 지음;김화영 옮김,민음사,2011,민음사 전집
이방인,알베르 카뮈 지음;김화영 옮김,민음사,2011,민음사 전집
빌헬름 텔. 간계와 사랑,프리드리히 실러 [지음];홍성광 옮김,민음사,2011,민음사 전집
빌헬름 텔. 간계와 사랑,프리드리히 실러 [지음];홍성광 옮김,민음사,2011,민음사 전집
하얀 성,오르한 파묵 지음;이난아 옮김,민음사,2011,민음사 전집
하얀 성,오르한 파묵 지음;이난아 옮김,민음사,2011,민음사 전집
픽션들,호르헤 루이스 보르헤스 지음;송병선 옮김,민음사,2011,민음사 전집
픽션들,호르헤 루이스 보르헤스 지음;송병선 옮김,민음사,2011,민음사 전집
노인과 바다,어니스트 헤밍웨이 지음;김욱동 옮김,민음사,2012,민음사 전집
노인과 바다,어니스트 헤밍웨이 지음;김욱동 옮김,민음사,2012,민음사 전집
무기여 잘 있어라,어니스트 헤밍웨이 지음; 김욱동 옮김,민음사,2012,민음사 전집
무기여 잘 있어라,어니스트 헤밍웨이 지음; 김욱동 옮김,민음사,2012,민음사 전집
페스트,알베르 카뮈 지음;김화영 옮김,민음사,2011,민음사 전집
페스트,알베르 카뮈 지음;김화영 옮김,민음사,2011,민음사 전집
하루 15분 정리의 힘,윤선현,위즈덤하우스,2012,자료실
사소한 말부터 바꿔라,캐서린 블라이스;김경숙,중앙북스,2012,자료실
깡패단의 방문,제니퍼 이건 지음;최세희 옮김,문학동네,2012,자료실
내 인생의 탐나는 심리학 50,톰 버틀러 보던;이정은,흐름출판,2008,자료실
바람을 뿌리는 자,넬레 노이하우스 지음;김진아 옮김,북로드,2012,자료실
한중일이 함께 쓴 동아시아 근현대사. 2: 테마로 읽는 사람과 교류의 역사,한중일3국공동역사편찬위원회,휴머니스트,2012,자료실
한중일이 함께 쓴 동아시아 근현대사. 1: 국제 관계의 변동으로 읽는 동아시아의 역사,한중일3국공동역사편찬위원회,휴머니스트,2012,자료실
피로사회,한병철;김태환,문학과지성사,2012,자료실
고양이가 돌아오는 저녁,송찬호,문학과지성사,2009,자료실
슬픔이 없는 십오 초,심보선,문학과지성사,2008,자료실
정오의 희망곡,이장욱,문학과지성사,2006,자료실
사춘기,김행숙,문학과지성사,2003,자료실
먼 곳,문태준 지음,창비,2012,자료실
사소한 물음들에 답함,송경동 [지음],창비,2009,자료실
가만히 좋아하는,김사인 지음,창비,2006,자료실
왜 사랑하느냐고 묻거든,김남조 고은외지음,문학사상,2012,자료실
생명의 떠오름,존 메이너드 스미스 지음;조세형 옮김,이음,2011,자료실
건강 불평등,리처드 윌킨슨 지음;손한경 옮김,이음,2011,자료실
낭만전사,도널드 시먼스;캐서린 새먼 [공]지음;임동근 옮김,이음,2011,자료실
신데렐라의 진실,마틴 데일리;마고 윌슨 지음;주일우 옮김,이음,2011,자료실
유리천장의 비밀,킹즐리 브라운 지음;강호정 옮김,이음,2011,자료실
에덴의 종말,콜린 텃지 지음;김상인 옮김,이음,2011,자료실
다윈주의 좌파,피터 싱어 지음;최정규 옮김,이음,2011,자료실
호모 심비우스,최재천 지음,이음,2011,자료실
사소한 발견,장현웅;장희엽 [공] 글·사진,나무[수:](백도씨),2010,자료실
철학자의 서재. 2,한국철학사상연구회 지음,알렙,2012,자료실
큐레이터 본색,김홍희 엮음,한길아트,2012,자료실
"그림책, 음악을 만나다",김영욱,교보문고,2007,자료실
미각의 제국,황교익 지음,따비,2010,자료실
"시, 사랑에 빠지다",천양희;장석남,현대문학,2009,자료실
"달려라, 아비",김애란 지음,창비,2005,자료실
(잠들기 전에 읽는)명상 고전,박상하,북씽크,2012,자료실
고흐의 다락방,프레드 리먼;알렉산드라 리프,마음산책,2011,자료실
당신을 위한 국가는 없다,박노자 지음,한겨레출판,2012,자료실
버킷리스트,강창균;유영만,한국경제신문사(한경비피),2011,자료실
피자의 지구사,캐럴 헬스토스키 지음;김지선 옮김,휴머니스트,2011,자료실
게릴라 가드닝,리처드 레이놀즈 지음; 여상훈 옮김,들녘,2012,자료실
파리 미술관 산책,최상운,북웨이,2011,자료실
1%의 우정,필립 포조 디 보르고;최복현,작은씨앗,2012,자료실
그해 봄은 더디게 왔다,페터 반 게스텔 지음;미리암 프레슬러 역;이유림 옮김,돌베개,2012,자료실
색에 미친 청춘,김유나,미다스북스,2011,자료실
개를 산책시키는 남자,전민식,은행나무,2012,자료실
위키드. 2: 서쪽 마녀 이야기,그레고리 머과이어 지음;송은주 옮김,민음사,2012,자료실
위키드. 1: 엘파바와 글린다,그레고리 머과이어 지음;송은주 옮김,민음사,2012,자료실
쓰리 세컨즈. 2,안데슈 루슬룬드;버리에 헬스트럼 지음;이승재 옮김,시공사(검은숲),2012,자료실
쓰리 세컨즈. 1,안데슈 루슬룬드;버리에 헬스트럼 지음;이승재 옮김,시공사(검은숲),2012,자료실
나의 삼촌 브루스 리. 2,천명관 지음,예담,2012,자료실
나의 삼촌 브루스 리. 1,천명관 지음,예담,2012,자료실
"1,100만 명을 어떻게 죽일까?",앤디 앤드루스,에이미팩토리(타임교육),2012,자료실
지금은 없는 이야기,최규석,사계절출판사,2011,자료실
마음이 예뻐지는 수필,곽재구 [외 지음],나무생각,2003,자료실
마음이 예뻐지는 수필,곽재구 [외 지음],나무생각,2003,자료실
우먼 인 블랙,수전 힐;김시현,문학동네,2012,자료실
자살가게,장 튈레;성귀수,열림원,2007,자료실
가시고백,김려령 지음,비룡소,2012,자료실
예감은 틀리지 않는다,줄리언 반스;최세희,다산책방(다산북스),2012,자료실
기나긴 하루,박완서,문학동네,2012,자료실
섬,빅토리아 히슬롭;노만수,문학세계사,2012,자료실
일침,정민 지음,김영사,2012,자료실
경제학 혁명,데이비드 오렐;김원기,행성비,2011,자료실
희박한 공기 속으로,존 크라카우어;김훈,황금가지,2007,자료실
스타터스,리사 프라이스;백효정,황금가지(민음인),2012,자료실
런던 디자인 산책,김지원,나무[수:](백도씨),2012,자료실
공감의 진화,폴 에얼릭;로버트 온스타인,에이도스,2012,자료실
스티브 잡스 첫 청소년 전기,카렌 블루멘탈;권오열,서울문화사,2012,자료실
팝콘을 먹는 동안 일어나는 일,김선희;송진욱,풀빛,2011,자료실
수학 암살,클라우디 알시나;김영주,사계절출판사,2011,자료실
국가의 숨겨진 부,데이비드 핼펀;제현주,북돋움(오토북스),2012,자료실
"내 인생의 논어, 그 사람 공자",이덕일 지음;권태균 사진,옥당,2012,자료실
러쉬!,토드 부크홀츠;장석훈,청림출판,2012,자료실
청소년자원봉사 어떻게 할까?,백은영,초록우체통,2012,자료실
"조선의 가족, 천 개의 표정",이순구,너머북스,2011,자료실
일의 미래,린다 그랜튼;조성숙,생각연구소(한국물가정보),2012,자료실
아마존 최후의 부족,몬테 릴 지음;정회성 옮김,휴머니스트,2012,자료실
우리 안의 그들 역사의 이방인들,이희근,너머북스,2008,자료실
저녁의 구애,편혜영,문학과지성사,2011,자료실
지식e. 7,EBS지식채널e,북하우스,2012,자료실
바다에는 악어가 살지,파비오 제다;이현경,마시멜로(한경BP),2012,자료실
(이창호의)부득탐승,이창호,라이프맵(한국물가정보),2011,자료실
경제고전,다케나카헤이조 지음;김소운 옮김,북하이브,2012,자료실
정조와 홍대용 생각을 겨루다,김도환 지음,책세상,2012,자료실
우주 사용 설명서,데이브 골드버그;제프 블롬퀴스트,휴머니스트,2012,자료실
왕은 어떻게 나라를 다스렸는가,김기흥;박종기,휴머니스트,2011,자료실
블레이드. 4: 진실 그리고 영원한 탈출,팀 보울러 지음;신선해 옮김,놀,2012,자료실
블레이드. 3: 두 번째 복수의 시간,팀 보울러 지음;신선해 옮김,놀,2012,자료실
블레이드. 2: 이름 없는 도망자들의 도시,팀 보울러 지음;신선해 옮김,다산북스,2012,자료실
블레이드. 1: 열다섯 살 소년의 위험한 도망기,팀 보울러 지음;신선해 옮김,다산북스,2012,자료실
노자를 읽고 장자에게 배운다,푸페이룽;한정선,知와 사랑,2012,자료실
(시로 쓰는)한국 근대사. 1: 나라를 빼앗긴 설움을 딛고 독립을 위해 싸우다,신현수 지음,작은숲,2012,자료실
무엇이 우리의 생각을 지배하는가,엘든 테일러 지음;이문영 옮김,알에이치코리아,2012,자료실
정답을 넘어서는 토론학교: 과학,가치를꿈꾸는과학교사모임 지음,우리학교,2011,자료실
파리 5구의 여인,더글라스 케네디 지음;조동섭 옮김,밝은세상,2012,자료실
"라플라스의 악마, 철학을 묻다",최훈 지음,뿌리와이파리,2010,자료실
김제동이 어깨동무합니다,김제동 지음,위즈덤경향,2012,자료실
전쟁으로 읽는 한국사,김광일,은행나무,2012,자료실
AK47,마쓰모토진이치;이정환,민음인,2012,자료실
넥스트 데모크라시,제러드 듀발;이선주,민음사,2012,자료실
"서울, 건축의 도시를 걷다. 1: 사대문 안과 구도심",임석재 지음,인물과사상사,2010,자료실
나의 문화유산답사기. 5: 다시 금강을 예찬하다,유홍준,창비,2011,자료실
나의 문화유산답사기. 4: 평양의 날은 개었습니다,유홍준 지음,창비,2011,자료실
10년 후 세상,중앙일보중앙Sunday미래탐사팀;최재천,청림출판,2012,자료실
소송사냥꾼,존 그리샴;안종설,문학수첩,2012,자료실
위풍당당,성석제 지음,문학동네,2012,자료실
"전주, 느리게 걷기",전주국제영화제,페이퍼북,2012,자료실
빼앗긴 문화재를 말하다,혜문,작은숲출판사,2012,자료실
두려움에게 인사하는 법,김이윤,창비,2012,자료실
"명작, 역사를 만나다",우정아,아트북스,2012,자료실
권력과 인간,정병설 지음,문학동네,2012,자료실
우리는 왜 실수를 하는가,조지프 핼리넌;김광수,문학동네,2012,자료실
어느날 내가 죽었습니다,이경혜 지음,바람의아이들,2004,자료실
유쾌한 창조,이어령;강창래 지음,알마,2010,자료실
우리는 어떻게 설득 당하는가,조 내버로;토니 시아라 포인터,위즈덤하우스,2012,자료실
(일생에 꼭 한 번은 들어야 할)명강,송호근;유홍준,블루엘리펀트(동아일보사),2012,자료실
현혹과 기만,피터 포브스;이한음,까치글방,2012,자료실
학벌사회,김상봉 지음,한길사,2004,자료실
"신들의 정원, 조선왕릉",이정근 지음,책보세(책으로 보는 세상),2010,자료실
청소년을 위한 세계경제원론. 4: 세계화의 두 얼굴,"데이비드 앤드류스 글;Michael Miller,마이클 밀러;김시래,유영채 [공]옮김",내인생의책,2012,자료실
고대 로마인의 24시간,알베르토 안젤라;주효숙,까치글방,2012,자료실
생각에 관한 생각,대니얼 카너먼;이진원,김영사,2012,자료실
거의 모든 사생활의 역사,빌 브라이슨;박중서,까치글방,2011,자료실
천재들의 도시 피렌체,김상근 지음,21세기북스(북이십일),2010,자료실
(실험은 계속된다)꾸리찌바 에필로그,박용남,서해문집,2011,자료실
원더보이,김연수 지음,문학동네,2012,자료실
(뉴욕 뒷골목)수프가게,존 고든 지음; 김소정 옮김,한국경제신문,2012,자료실
조선 최대의 과학수사 X파일,이종호,글로연(하니커뮤니케이션즈),2008,자료실
(이승훈 교수의)경제학 멘토링,이승훈 지음,터치아트,2012,자료실
