No,자료유형,등록번호,자료명,저자,출판사,출판년도,청구기호,자료상태,소장처,화폐구분,가격,ISBN
32,단행본,KM00149044,처음 만나는 문화인류학,한국문화인류학회,일조각,2003,389 한16ㅊ c.3,대출가능,자료실,￦,12000,9788933704370
33,단행본,KM00149043,낯선 곳에서 나를 만나다,한국문화인류학회 엮음,일조각,2006,331.5 한16ㄴ c.6,대출가능,자료실,￦,13000,9788933705001
34,단행본,KM00149042,낯선 곳에서 나를 만나다,한국문화인류학회 엮음,일조각,2006,331.5 한16ㄴ c.5,대출가능,자료실,￦,13000,9788933705001
35,단행본,KM00149041,낯선 곳에서 나를 만나다,한국문화인류학회 엮음,일조각,2006,331.5 한16ㄴ c.4,대출가능,자료실,￦,13000,9788933705001
36,단행본,KM00149040,낯선 곳에서 나를 만나다,한국문화인류학회 엮음,일조각,2006,331.5 한16ㄴ c.3,대출가능,자료실,￦,13000,9788933705001
37,단행본,KM00149039,낯선 곳에서 나를 만나다,한국문화인류학회 엮음,일조각,2006,331.5 한16ㄴ c.2,대출가능,자료실,￦,13000,9788933705001
38,단행본,KM00149038,깨끗한 존경,이슬아 지음,헤엄출판사,2019,818 이57ㄲ,대출가능,신착도서,￦,15000,9791196589141
39,단행본,KM00149037,어떤 비밀,최진영 지음,난다,2024,814.6 최78ㅇ,대출가능,신착도서,￦,17000,9791194171140
40,단행본,KM00149036,까다롭게 좋아하는 사람,엄지혜 지음,마음산책,2024,818 엄78ㄲ,대출가능,신착도서,￦,15000,9788960908628
41,단행본,KM00149035,한 사람의 노래가 온 거리에 노래를,신경림 외 지음,창비,2024,811.6 신14ㅎ,대출가능,신착도서,￦,7000,9788936403010
42,단행본,KM00149034,아침은 생각한다,문태준 지음,창비,2022,811.6 문883ㅇ,대출가능,신착도서,￦,9000,9788936424718
43,단행본,KM00149033,(내가 만난) 소년에 대하여,천종호 지음; 이희은 그림,우리학교,2021,360.04 천75ㅅ,대출가능,신착도서,￦,16800,9791190337687
44,단행본,KM00149032,명랑한 은둔자,캐럴라인 냅 지음; 김명남 옮김,바다출판사,2020,844 냅873ㅁ김,대출가능,신착도서,￦,16000,9791189932671
45,단행본,KM00149031,너무 잘하려고 애쓰지 마라,나태주 지음,열림원,2022,811.62 나883ㄴ,대출가능,신착도서,￦,14000,9791170400608
46,단행본,KM00149030,"여성, 귀신이 되다",전혜진 지음,현암사,2021,388.111 전94ㅇ,대출가능,신착도서,￦,18000,9788932321301
47,단행본,KM00149029,나비가면,박지웅 지음,문학동네,2021,811.6 박78ㄴ,대출가능,신착도서,￦,10000,9788954681636
48,단행본,KM00149028,살 것만 같던 마음,이영광 지음,창비,2024,811.6 이64ㅅ,대출중,신착도서,￦,10000,9788936425029
49,단행본,KM00149027,이것은 농담에 가깝습니다,이명윤 지음,걷는사람,2024,811.6 이34이,대출가능,신착도서,￦,12000,9791193412350
50,단행본,KM00149026,빛 속에서 이룰 수 없는 일은 얼마나 많았던가,허수경 [외] 지음,문학과지성사,2023,811.6 허56ㅂ,대출가능,신착도서,￦,17000,9788932042169
51,단행본,KM00149025,노동을 보는 눈,강수돌 지음,개마고원,2012,321.5 강56ㄴ,대출중,신착도서,￦,14000,9788957691427
52,단행본,KM00149024,별을 잇는 손,무라야마 사키 지음; 류순미 옮김,클,2019,833.6 무292ㅂ류,대출가능,신착도서,￦,14000,9791188907670
53,단행본,KM00149023,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 마사키 지음; 권영주 옮김,모모,2021,833.6 이86ㅇ권,대출중,신착도서,￦,14000,9791191043297
54,단행본,KM00149022,1등의 습관,찰스 두히그 지음; 강주헌 옮김,Alfred (알프레드),2016,189 두98ㅇ강,대출중,신착도서,￦,22000,9788901212463
55,단행본,KM00149021,침묵을 배우는 시간,코르넬리아 토프 지음; 장혜경 옮김,서교책방,2024,331.62 토897ㅊ장,대출가능,신착도서,￦,18500,9791198752444
56,단행본,KM00149020,이것은 이름들의 전쟁이다,리베카 솔닛 지음; 김명남 옮김,창비,2018,330.4 솔198ㅇ김,대출가능,신착도서,￦,15000,9788936476793
57,단행본,KM00149019,이종욱 평전,데스몬스 에버리 지음; 이한중 옮김,나무와숲,2020,510.99 에44ㅇ2,대출가능,신착도서,￦,15000,9788993632767
58,단행본,KM00149018,새파란 돌봄,조기현 지음,이매진,2022,332.204 조18ㅅ,대출중,신착도서,￦,14000,9791155311295
59,단행본,KM00149017,국과수에서 일하는 상상 어때?,권미아; 이다혜 지음,창비,2024,321.55 권38ㄱ,대출가능,신착도서,￦,13000,9788936453275
60,단행본,KM00149016,우리가 수학을 사랑하는 이유,전혜진 지음; 다드래기 그림,지상의책,2021,410.99 전94ㅇ,대출가능,신착도서,￦,16500,9791191842067
61,단행본,KM00149015,"예술, 문학, 정신분석",지크문트 프로이트 지음; 정장진 옮김,열린책들,2020,185.51 프295ㅇ정,대출가능,신착도서,￦,24000,9788932920627
62,단행본,KM00149014,낙인이라는 광기,스티븐 힌쇼 지음; 신소희 옮김,아몬드,2022,513.89099 힌55ㄴ신,대출가능,신착도서,￦,25000,9791192465005
63,단행본,KM00149013,불안 세대,조너선 하이트 지음; 이충호 옮김,웅진지식하우스,2024,334.3 하68ㅂ이,대출가능,신착도서,￦,24800,9788901285894
64,단행본,KM00149012,법 쫌 아는 10대,"김나영; 김택수 지음, 방상호 그림",풀빛,2024,360 김192ㅂ,대출가능,신착도서,￦,13000,9791161729411
65,단행본,KM00149011,두 도시 이야기,찰스 디킨스 지음; 김소영 옮김,허밍버드,2020,843.4 디878ㄷ김,대출가능,신착도서,￦,15000,9788968332852
66,단행본,KM00149010,한 사람을 위한 마음,이주란 지음,문학동네,2019,813.7 이76ㅎ,대출가능,신착도서,￦,16000,9788954658720
67,단행본,KM00149009,괴물이 된 성범죄자들,안병헌 지음,슬로디미디어,2023,334.2232 안44ㄱ,대출가능,신착도서,￦,16000,9791167851543
68,단행본,KM00149008,당신의 작업복 이야기,경향신문 작업복 기획팀 지음,오월의봄,2024,321.5 경93ㄷ,대출가능,신착도서,￦,19800,9791168731004
69,단행본,KM00149007,지도로 보아야 보인다,에밀리 오브리; 프랭크 테타르 지음; 이수진 옮김,사이,2024,340.98 오47ㅈ이,대출가능,신착도서,￦,29800,9788993178302
70,단행본,KM00149006,"수학 교과서, 영화에 딴지 걸다",이재진 지음,푸른숲주니어,2007,410 이73ㅅ,대출가능,신착도서,￦,11000,9788971847220
71,단행본,KM00149005,괴물들,클레어 데더러 지음; 노지양 옮김,을유문화사,2024,600.13 데24ㄱ노,대출가능,신착도서,￦,18000,9788932475233
72,단행본,KM00149004,이중 하나는 거짓말,김애란 지음,문학동네,2024,813.6 김63ㅇ,대출중,신착도서,￦,16000,9791141601300
73,단행본,KM00149003,언러키 스타트업,정지음 지음,민음사,2022,813.7 정78ㅇㄹ,대출가능,신착도서,￦,15000,9788937427343
74,단행본,KM00149002,구의 증명,최진영 지음,은행나무,2023,813.6 최78ㄱ,대출중,신착도서,￦,12000,9791167372864
75,단행본,KM00149001,단 한 사람,최진영 지음,한겨레출판,2023,813.6 최78단,대출중,신착도서,￦,15000,9791160405750
76,단행본,KM00149000,대온실 수리 보고서,김금희 지음,창비,2024,813.6 김17ㄷ,대출가능,신착도서,￦,18000,9788936439651
77,단행본,KM00148999,석가모니 인생수업,석가모니 지음; 김지민 엮음,Highest,2024,294.363 석12ㅅ,대출가능,신착도서,￦,17500,9791193282113
78,단행본,KM00148998,당신이 누군가를 죽였다,히가시노 게이고 지음; 최고은 옮김,북다,2024,833.6 히12ㄷ최,대출가능,신착도서,￦,19800,9791170611561
79,단행본,KM00148997,오후도 서점 이야기,무라야마 사키 지음; 류순미 옮김,클,2018,833.6 무292ㅇㅎ,대출가능,신착도서,￦,14000,9791188907359
80,단행본,KM00148996,(Do it!) 알고리즘 코딩 테스트. 파이썬 편,김종관 지음,이지스퍼블리싱,2022,005.13 김75ㅇ v.파이썬 편,대출가능,신착도서,￦,32000,9791163033936
81,단행본,KM00148995,인공지능 구조 원리 교과서,송경빈 지음,보누스,2024,004.73 송14ㅇ,대출중,신착도서,￦,19800,9788964946855
82,단행본,KM00148994,(청소년이 함께 살아야 할) 로봇과 AI,전승민 지음,매경주니어,2024,331.5412 전57ㄹ,대출가능,신착도서,￦,18000,9791164847242
83,단행본,KM00148993,2024 김승옥문학상 수상작품집. 2024,조경란 외 지음,문학동네,2024,810.82 문78ㄱ v.2024,대출중,신착도서,￦,12000,9791141601270
84,단행본,KM00148992,영원한 천국,정유정 지음,은행나무,2024,813.6 정66ㅇㅇ,대출가능,신착도서,￦,19800,9791167374561
85,단행본,KM00148991,고백루프,박서련 지음,창비,2024,813.6 박54ㄱ,대출가능,신착도서,￦,14500,9791165702496
86,단행본,KM00148990,(비문학과 통합과학을 준비하는) 요즘 청소년을 위한 화학의 쓸모,정병진 지음,청어람미디어,2024,430 정44ㅇ,대출가능,신착도서,￦,15000,9791158712624
87,단행본,KM00148989,두 얼굴의 원소라고?,강상욱 지음; 이크종 그림,나무를심는사람들,2024,430 강52ㄷ,대출가능,신착도서,￦,14000,9791193156223
88,단행본,KM00148988,죽이고 싶은 아이. 2,이꽃님 지음,우리학교,2024,813.7 이15ㅈ v.2,대출가능,신착도서,￦,14000,9791167552723
89,단행본,KM00148987,문명. 2,베르나르 베르베르 지음; 전미연 옮김,열린책들,2021,863 베297ㅁ전 v.2,대출가능,신착도서,￦,14800,9788932921044
90,단행본,KM00148986,문명. 1,베르나르 베르베르 지음; 전미연 옮김,열린책들,2021,863 베297ㅁ전 v.1,대출가능,신착도서,￦,14800,9788932921037
91,단행본,KM00148985,여고생 핍의 사건 파일,홀리 잭슨 지음; 장여정 옮김,북레시피,2023,843.6 잭57ㅇ장,대출가능,신착도서,￦,18000,9791190489782
92,단행본,KM00148984,아이가 없는 집,알렉스 안도릴 지음; 유혜인 옮김,필름,2024,859.7 안25ㅇ유,대출가능,신착도서,￦,18000,9791193262184
93,단행본,KM00148983,알레한드라 김의 가면증후군과 솔직한 고백,패트리샤 박 지음; 신혜연 옮김,서사원,2024,843.6 박893ㅇ신,대출가능,신착도서,￦,18500,9791168223264
94,단행본,KM00148982,활자잔혹극,루스 렌들 지음; 이동윤 옮김,북스피어,2024,843.6 렌27ㅎ이,대출가능,신착도서,￦,16800,9791192313559
95,단행본,KM00148981,(명화들이 말해주는) 그림 속 드레스 이야기,이정아 지음,J&jj (제이앤제이제이),2018,650.4 이74ㄱ,대출가능,신착도서,￦,20000,9791186972458
96,단행본,KM00148980,"(난생 처음 한번 공부하는) 미술이야기. 8: 바로크 문명과 미술: 시선의 대축제, 막이 오르다",양정무 지음,사회평론,2024,609 양74ㅁ v.8,대출중,신착도서,￦,28000,9791162733349
97,단행본,KM00148979,홀리,스티븐 킹 지음; 이은선 옮김,황금가지,2024,843.5 킹57ㅎ이,대출가능,신착도서,￦,21000,9791170524397
98,단행본,KM00148978,조선 미술관,탁현규 지음,블랙피쉬,2023,653.11 탁94ㅈ,대출가능,신착도서,￦,16800,9788968334177
99,단행본,KM00148977,은하수를 여행하는 히치하이커를 위한 안내서,"더글러스 애덤스 지음; 김선형, 권진아 옮김",책세상,2005,843 애24ㅇ김,대출가능,신착도서,￦,38000,9788970135472
100,단행본,KM00148976,예술 도둑,마이클 핀클 지음; 염지선 옮김,생각의힘,2024,844 핀877ㅇ염,대출가능,신착도서,￦,17800,9791193166659
101,단행본,KM00148975,출근하는 책들,구채은 지음,Pazit(파지트),2023,029.04 구82ㅊ,대출가능,신착도서,￦,16800,9791192381756
102,단행본,KM00148974,혼자가 좋지만 고독사는 걱정입니다,몬가 미오코 지음; 구수진 옮김,반니,2023,126.5 몬12ㅎ구,대출가능,신착도서,￦,18000,9791167961396
103,단행본,KM00148973,고대로부터의 통신,한국역사연구회 고대사 분과 지음,푸른역사,2004,911.02 한16ㄱ c.2,대출가능,신착도서,￦,14000,9788987787794
104,단행본,KM00148972,고대로부터의 통신,한국역사연구회 고대사 분과 지음,푸른역사,2004,911.02 한16ㄱ,대출가능,신착도서,￦,14000,9788987787794
105,단행본,KM00148971,식민지 청년 이봉창의 고백,배경식 지음,Humanist,2015,911.063 배14ㅅ c.2,대출가능,신착도서,￦,13000,9788958629665
106,단행본,KM00148970,식민지 청년 이봉창의 고백,배경식 지음,Humanist,2015,911.063 배14ㅅ,대출가능,신착도서,￦,13000,9788958629665
107,단행본,KM00148969,박병선,공지희 지음; 김지안 그림,글로연,2012,998.9 공78ㅂ c.2,대출가능,신착도서,￦,13000,9788992704342
108,단행본,KM00148968,박병선,공지희 지음; 김지안 그림,글로연,2012,998.9 공78ㅂ,대출가능,신착도서,￦,13000,9788992704342
109,단행본,KM00148967,마주보는 한일사. 3: 한일 근현대사,한국·전국역사교사모임,사계절출판사,2014,911 한16ㅁ v.3 c.2,대출가능,신착도서,￦,19500,9788958287681
110,단행본,KM00148966,마주보는 한일사. 3: 한일 근현대사,한국·전국역사교사모임,사계절출판사,2014,911 한16ㅁ v.3,대출가능,신착도서,￦,19500,9788958287681
111,단행본,KM00148965,역사 앞에서,김성칠 지음; 정병준 해제,창비,2009,816.6 김54ㅇ c.2,대출가능,신착도서,￦,16000,9788936471675
112,단행본,KM00148964,역사 앞에서,김성칠 지음; 정병준 해제,창비,2009,816.6 김54ㅇ,대출가능,신착도서,￦,16000,9788936471675
113,단행본,KM00148963,미술관에 간 법학자,김현진 지음,어바웃어북,2024,650.4 김94ㅁ c.2,대출가능,신착도서,￦,22000,9791192229447
114,단행본,KM00148962,미술관에 간 법학자,김현진 지음,어바웃어북,2024,650.4 김94ㅁ,대출가능,신착도서,￦,22000,9791192229447
115,단행본,KM00148961,작은 땅의 야수들,김주혜 지음; 박소현 옮김,다산책방,2024,843.6 김76ㅈ박 c.2,대출가능,신착도서,￦,18000,9791130642574
116,단행본,KM00148960,작은 땅의 야수들,김주혜 지음; 박소현 옮김,다산책방,2024,843.6 김76ㅈ박,대출가능,신착도서,￦,18000,9791130642574
117,단행본,KM00148959,정조어찰첩,성균관대학교동아시아학술원[편],성균관대학교출판부,2009,911.05 성16ㅈ c.3,대출가능,자료실,￦,30000,9788979868067
118,단행본,KM00148958,정조어찰첩,성균관대학교동아시아학술원[편],성균관대학교출판부,2009,911.05 성16ㅈ c.2,대출가능,자료실,￦,30000,9788979868067
119,단행본,KM00148957,검은 사슴,한강 지음,문학동네,2017,813.6 한12ㄱ c.10,대출가능,2층 자료실,￦,15500,9788954648905
120,단행본,KM00148956,검은 사슴,한강 지음,문학동네,2017,813.6 한12ㄱ c.9,대출가능,2층 자료실,￦,15500,9788954648905
121,단행본,KM00148955,검은 사슴,한강 지음,문학동네,2017,813.6 한12ㄱ c.8,대출가능,2층 자료실,￦,15500,9788954648905
122,단행본,KM00148954,검은 사슴,한강 지음,문학동네,2017,813.6 한12ㄱ c.7,대출가능,2층 자료실,￦,15500,9788954648905
123,단행본,KM00148953,검은 사슴,한강 지음,문학동네,2017,813.6 한12ㄱ c.6,대출가능,2층 자료실,￦,15500,9788954648905
124,단행본,KM00148952,검은 사슴,한강 지음,문학동네,2017,813.6 한12ㄱ c.5,대출가능,2층 자료실,￦,15500,9788954648905
125,단행본,KM00148951,검은 사슴,한강 지음,문학동네,2017,813.6 한12ㄱ c.4,대출가능,2층 자료실,￦,15500,9788954648905
126,단행본,KM00148950,검은 사슴,한강 지음,문학동네,2017,813.6 한12ㄱ c.3,대출가능,2층 자료실,￦,15500,9788954648905
127,단행본,KM00148949,검은 사슴,한강 지음,문학동네,2017,813.6 한12ㄱ c.2,대출가능,자료실,￦,15500,9788954648905
128,단행본,KM00148948,검은 사슴,한강 지음,문학동네,2017,813.6 한12ㄱ,대출가능,자료실,￦,15500,9788954648905
129,단행본,KM00148946,노랑무늬영원,한강 지음,문학과지성사,2018,813.6 한12ㄴ c.9,대출가능,2층 자료실,￦,14000,9788932034836
130,단행본,KM00148945,노랑무늬영원,한강 지음,문학과지성사,2018,813.6 한12ㄴ c.8,대출가능,2층 자료실,￦,14000,9788932034836
131,단행본,KM00148944,노랑무늬영원,한강 지음,문학과지성사,2018,813.6 한12ㄴ c.7,대출가능,2층 자료실,￦,14000,9788932034836
132,단행본,KM00148943,노랑무늬영원,한강 지음,문학과지성사,2018,813.6 한12ㄴ c.6,대출가능,2층 자료실,￦,14000,9788932034836
133,단행본,KM00148942,노랑무늬영원,한강 지음,문학과지성사,2018,813.6 한12ㄴ c.5,대출가능,2층 자료실,￦,14000,9788932034836
134,단행본,KM00148941,노랑무늬영원,한강 지음,문학과지성사,2018,813.6 한12ㄴ c.4,대출가능,2층 자료실,￦,14000,9788932034836
135,단행본,KM00148940,노랑무늬영원,한강 지음,문학과지성사,2018,813.6 한12ㄴ c.3,대출가능,2층 자료실,￦,14000,9788932034836
136,단행본,KM00148939,노랑무늬영원,한강 지음,문학과지성사,2018,813.6 한12ㄴ c.2,대출가능,자료실,￦,14000,9788932034836
137,단행본,KM00148938,작별하지 않는다,한강 지음,문학동네,2021,813.6 한12ㅈ c.10,대출가능,2층 자료실,￦,14000,9788954682152
138,단행본,KM00148937,작별하지 않는다,한강 지음,문학동네,2021,813.6 한12ㅈ c.9,대출가능,2층 자료실,￦,14000,9788954682152
139,단행본,KM00148936,작별하지 않는다,한강 지음,문학동네,2021,813.6 한12ㅈ c.8,대출가능,2층 자료실,￦,14000,9788954682152
140,단행본,KM00148935,작별하지 않는다,한강 지음,문학동네,2021,813.6 한12ㅈ c.7,대출가능,2층 자료실,￦,14000,9788954682152
141,단행본,KM00148934,작별하지 않는다,한강 지음,문학동네,2021,813.6 한12ㅈ c.6,대출가능,2층 자료실,￦,14000,9788954682152
142,단행본,KM00148933,작별하지 않는다,한강 지음,문학동네,2021,813.6 한12ㅈ c.5,대출중,2층 자료실,￦,14000,9788954682152
143,단행본,KM00148932,작별하지 않는다,한강 지음,문학동네,2021,813.6 한12ㅈ c.4,대출중,2층 자료실,￦,14000,9788954682152
144,단행본,KM00148931,작별하지 않는다,한강 지음,문학동네,2021,813.6 한12ㅈ c.3,대출가능,2층 자료실,￦,14000,9788954682152
145,단행본,KM00148930,작별하지 않는다,한강 지음,문학동네,2021,813.6 한12ㅈ c.2,대출가능,자료실,￦,14000,9788954682152
146,단행본,KM00148929,흰,한강 지음,문학동네,2018,813.6 한12ㅎ2 c.9,대출가능,2층 자료실,￦,12500,9788954651134
147,단행본,KM00148928,흰,한강 지음,문학동네,2018,813.6 한12ㅎ2 c.8,대출가능,2층 자료실,￦,12500,9788954651134
148,단행본,KM00148927,흰,한강 지음,문학동네,2018,813.6 한12ㅎ2 c.7,대출가능,2층 자료실,￦,12500,9788954651134
149,단행본,KM00148926,흰,한강 지음,문학동네,2018,813.6 한12ㅎ2 c.6,대출가능,2층 자료실,￦,12500,9788954651134
150,단행본,KM00148925,흰,한강 지음,문학동네,2018,813.6 한12ㅎ2 c.5,대출가능,2층 자료실,￦,12500,9788954651134
151,단행본,KM00148924,흰,한강 지음,문학동네,2018,813.6 한12ㅎ2 c.4,대출가능,2층 자료실,￦,12500,9788954651134
152,단행본,KM00148923,흰,한강 지음,문학동네,2018,813.6 한12ㅎ2 c.3,대출가능,2층 자료실,￦,12500,9788954651134
153,단행본,KM00148922,흰,한강 지음,문학동네,2018,813.6 한12ㅎ2 c.2,대출가능,2층 자료실,￦,12500,9788954651134
154,단행본,KM00148921,흰,한강 지음,문학동네,2018,813.6 한12ㅎ2,대출중,자료실,￦,12500,9788954651134
155,단행본,KM00148920,서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,811.6 한12ㅅ c.10,대출가능,2층 자료실,￦,8000,9788932024639
156,단행본,KM00148919,서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,811.6 한12ㅅ c.9,대출가능,2층 자료실,￦,8000,9788932024639
157,단행본,KM00148918,서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,811.6 한12ㅅ c.8,대출가능,2층 자료실,￦,8000,9788932024639
158,단행본,KM00148917,서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,811.6 한12ㅅ c.7,대출가능,2층 자료실,￦,8000,9788932024639
159,단행본,KM00148916,서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,811.6 한12ㅅ c.6,대출가능,2층 자료실,￦,8000,9788932024639
160,단행본,KM00148915,서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,811.6 한12ㅅ c.5,대출가능,2층 자료실,￦,8000,9788932024639
161,단행본,KM00148914,서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,811.6 한12ㅅ c.4,대출중,2층 자료실,￦,8000,9788932024639
162,단행본,KM00148913,서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,811.6 한12ㅅ c.3,대출가능,2층 자료실,￦,8000,9788932024639
163,단행본,KM00148912,서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013,811.6 한12ㅅ c.2,대출가능,자료실,￦,8000,9788932024639
164,단행본,KM00148911,소년이 온다,한강,창비,2014,813.6 한12ㅅ c.10,대출가능,2층 자료실,￦,12000,9788936434120
165,단행본,KM00148910,소년이 온다,한강,창비,2014,813.6 한12ㅅ c.9,대출중,2층 자료실,￦,12000,9788936434120
166,단행본,KM00148909,소년이 온다,한강,창비,2014,813.6 한12ㅅ c.8,대출가능,2층 자료실,￦,12000,9788936434120
167,단행본,KM00148908,소년이 온다,한강,창비,2014,813.6 한12ㅅ c.7,대출가능,2층 자료실,￦,12000,9788936434120
168,단행본,KM00148907,소년이 온다,한강,창비,2014,813.6 한12ㅅ c.6,대출중,2층 자료실,￦,12000,9788936434120
169,단행본,KM00148906,소년이 온다,한강,창비,2014,813.6 한12ㅅ c.5,대출가능,2층 자료실,￦,12000,9788936434120
170,단행본,KM00148905,소년이 온다,한강,창비,2014,813.6 한12ㅅ c.4,대출가능,2층 자료실,￦,12000,9788936434120
171,단행본,KM00148904,소년이 온다,한강,창비,2014,813.6 한12ㅅ c.3,대출중,2층 자료실,￦,12000,9788936434120
172,단행본,KM00148903,소년이 온다,한강,창비,2014,813.6 한12ㅅ c.2,대출가능,자료실,￦,12000,9788936434120
